rank_x,postid,rank_y,rank
477.0,57657901,,21.0
802.0,26145967,,
1163.0,58314023,,2472.0
478.0,45206230,,
1573.0,16475081,,
51.0,15853204,1137.0,
794.0,9862519,,
2443.0,11950703,,
194.0,48912908,1.0,
128.0,2564258,,
1172.0,36368712,59.0,
912.0,56366734,,
128.0,45201654,,
1.0,14268814,,
2947.0,28306604,140.0,
2178.0,57430411,1242.0,
339.0,42449257,1.0,
13.0,49041280,23.0,
108.0,27545423,,
803.0,17178831,378.0,
290.0,15486551,,1854.0
1.0,18018097,30.0,
36.0,1567718,,
79.0,24881923,71.0,
1.0,40652012,345.0,15.0
2566.0,21729415,,
2749.0,7326865,,
1065.0,57024793,,2.0
1830.0,45279880,,
242.0,10004847,,
3731.0,31178704,1517.0,
102.0,51569831,,
1.0,9220849,1.0,
1.0,8854046,,
5.0,43223579,,
487.0,47651868,,
2891.0,56249536,3761.0,
408.0,2824965,,
1268.0,52708868,25.0,
505.0,56026040,,
74.0,24135157,,
1643.0,7425100,400.0,
1442.0,11851240,742.0,
16.0,60289954,289.0,
1465.0,11121385,,
3.0,40035067,275.0,
209.0,55853841,,23.0
3005.0,45047885,,
92.0,11254452,224.0,
43.0,38895565,,
23.0,38169765,2964.0,983.0
187.0,55482534,,
515.0,33048097,114.0,
1200.0,49184274,,
549.0,12075037,,3183.0
222.0,20679635,,
3.0,34619117,382.0,1168.0
485.0,10888117,,
1.0,24305672,907.0,
232.0,39137287,,1607.0
122.0,10689055,,
1.0,59159729,1139.0,2167.0
3.0,48433790,160.0,
26.0,3685285,,3284.0
629.0,40385321,,
25.0,51481913,,
4.0,25587773,346.0,
1.0,15403903,966.0,
385.0,45607736,2.0,
3.0,11134812,1.0,33.0
470.0,33479862,,
16.0,6178763,,
1257.0,10762287,,
1685.0,32575397,3892.0,
1.0,51964208,12.0,
425.0,6967664,,
326.0,28987622,251.0,
257.0,57334741,,
2.0,1429907,,
38.0,36094718,502.0,
290.0,57110805,,
164.0,27014134,,
224.0,58627988,707.0,543.0
53.0,19885381,,
1429.0,24916945,,
36.0,5831794,,
2078.0,34001333,,
3.0,31947727,3934.0,
98.0,14490071,,
1.0,30060278,523.0,
309.0,11144551,,24.0
264.0,30159041,749.0,
30.0,35725156,505.0,3727.0
1.0,24590154,,1837.0
269.0,57498890,,
22.0,8400901,,54.0
819.0,37991389,584.0,
98.0,27727590,,
656.0,1169539,893.0,
276.0,49743774,21.0,
37.0,18349053,,
1.0,29125019,1100.0,
555.0,3699405,,
81.0,8203818,,
1553.0,50062132,281.0,
475.0,1245273,1.0,
310.0,32857212,,
1648.0,9863604,,
445.0,7368262,1548.0,
66.0,19009308,,
179.0,12038160,1425.0,
147.0,3642188,,
22.0,23528862,,
406.0,27779667,110.0,
1.0,12766253,,2337.0
1211.0,61798169,671.0,2457.0
1.0,43460760,429.0,1.0
155.0,10411871,,
900.0,54535966,940.0,42.0
2118.0,47719961,162.0,2073.0
723.0,61602871,,726.0
328.0,23483421,3442.0,981.0
186.0,15673550,1153.0,
1520.0,2893005,282.0,
2857.0,41088751,,223.0
191.0,4442518,,
271.0,42524450,,
36.0,14899197,,2402.0
229.0,10305614,,
2366.0,57547769,78.0,
10.0,53070606,21.0,768.0
130.0,12675147,,
15.0,34896004,154.0,
1.0,46842293,338.0,
807.0,49440262,13.0,
1544.0,22329685,,
49.0,21273691,,1342.0
1945.0,46842118,52.0,
39.0,45722157,1632.0,
217.0,42771185,1357.0,1953.0
196.0,30064401,,
27.0,10368180,,624.0
968.0,34898222,,214.0
22.0,49229558,211.0,119.0
12.0,51597297,117.0,
1470.0,7885147,1742.0,
71.0,12040245,,3829.0
352.0,6085238,,880.0
24.0,61873468,70.0,2814.0
10.0,21962452,123.0,186.0
228.0,3932038,1712.0,
1506.0,1195826,,
1.0,25755930,2.0,
12.0,20637248,511.0,
281.0,2858014,38.0,
2183.0,51387157,1589.0,1056.0
21.0,45357806,2022.0,1020.0
3633.0,16289182,1745.0,
1421.0,28500096,407.0,
1233.0,30902906,2887.0,
70.0,35025145,561.0,
176.0,8888516,,
673.0,9506442,,
2078.0,18647777,2959.0,2787.0
1605.0,9449184,,
1316.0,1630724,,
53.0,12546365,2366.0,489.0
149.0,39694490,,757.0
570.0,9661469,,
121.0,34213765,1751.0,
1042.0,11301738,,
137.0,11668904,,
458.0,34731975,513.0,
110.0,58677247,2989.0,
800.0,28579361,3344.0,
3515.0,29775461,2912.0,
759.0,7227976,397.0,
12.0,36033449,,
808.0,9071020,1203.0,
1107.0,39262534,,
224.0,9558040,,
2455.0,25145982,1290.0,
8.0,8153594,,
3.0,17121390,1731.0,1.0
473.0,11846295,,
199.0,16626462,1168.0,
175.0,58370234,3111.0,
21.0,17306695,2217.0,
928.0,18093107,138.0,
3290.0,4427234,,
314.0,9851655,,
266.0,60822398,3252.0,405.0
1183.0,3681647,,
1226.0,38540093,,
685.0,30652116,,
2671.0,35525240,3504.0,
599.0,2409317,,
30.0,47950817,,
65.0,55485704,788.0,
788.0,6216968,,906.0
295.0,6258004,,
420.0,2436688,1553.0,
443.0,15059076,,
1601.0,36668078,,
603.0,15913417,,
884.0,52606467,,
8.0,35040579,537.0,
819.0,15502263,,
104.0,40596609,,
1438.0,48337624,2.0,
3378.0,12464396,,2319.0
507.0,3443687,,
114.0,15267018,1275.0,
676.0,2193742,,
1830.0,16390221,1445.0,
307.0,11940605,,
2588.0,1401904,,
133.0,25693082,,
246.0,28748046,1750.0,
175.0,14983805,1273.0,
854.0,52932440,,237.0
1668.0,52338580,353.0,
15.0,26123516,3355.0,
387.0,23077125,,
27.0,29980426,,563.0
722.0,18171246,,
1.0,29241492,,
2244.0,1395577,1108.0,
1129.0,15059093,,
491.0,45259737,1974.0,
145.0,9871106,,
918.0,12514612,,
1919.0,18511249,3122.0,
1305.0,27953588,687.0,
512.0,27497068,501.0,
668.0,17808575,,
956.0,59153010,22.0,
3639.0,15660954,56.0,
817.0,36040542,2273.0,
3.0,8096313,,
93.0,24536154,3332.0,3284.0
845.0,46857193,,
808.0,27637455,,
2120.0,9917049,,
1305.0,16255579,,
1445.0,57935571,,
303.0,48142634,,
1398.0,30460410,768.0,
737.0,42469003,1979.0,
1.0,47934438,1750.0,3291.0
937.0,16284766,,
1.0,15034471,6.0,1282.0
359.0,5352099,,
804.0,56530842,39.0,
577.0,23840523,,2844.0
3850.0,3099219,,
677.0,22569176,1862.0,
1585.0,8843700,1431.0,
1707.0,1815606,144.0,
933.0,47405422,3964.0,
1201.0,5226807,,2750.0
2448.0,18406991,,
1116.0,5465314,24.0,
300.0,28574757,,
655.0,24904683,1.0,
3372.0,52334944,,
914.0,15625990,,
1412.0,29583849,,148.0
166.0,31458051,,
3453.0,45405167,1883.0,
407.0,33263759,101.0,
6.0,52334683,,
1433.0,7864931,,
67.0,6558921,928.0,
1085.0,22945651,,
330.0,4227223,,
2424.0,7611169,,
3434.0,12786335,,
3924.0,7355187,274.0,1614.0
3573.0,8091303,,
3629.0,9555889,,
4.0,3606697,,
667.0,11214012,,
2766.0,31690007,,
1919.0,15875786,,
14.0,36478278,,
