testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
11001746	-100	0	0	0	-100	0	6.7	0	
25130801	-100	0	0	0	-100	0	1.905	0	
44944974	-100	0	0	0	-100	0	1.425	0	
2824015	2855013	0	0	0	75	0	1.036	0	1000
12894976	12920429	0	0	0	15	0	0.374	0	1001
6939122	-100	0	0	0	-100	0	0.71	0	
48882043	-100	0	0	0	-100	0	1.52	0	
51365778	-100	0	0	0	-100	0	1.261	0	
37895231	-100	0	0	0	-100	0	1.139	0	
33995548	38395820	0	0	0	438	0	1.236	0	1007
4693943	17948578	0	0	0	1726	0	0.454	0	1008
34201353	34204802	0	0	0	2637	0	1.15	0	1009
40226233	40294906	0	0	0	111	0	0.787	0	101
38395473	38435531	0	0	0	1	0	1.154	0	1010
3268068	-100	0	0	0	-100	0	1.319	0	
9370145	-100	0	0	0	-100	0	0.74	0	
17062749	17574111	0	0	0	310	0	0.23	0	1013
28739533	28776161	0	0	0	15	0	0.501	0	1014
27384584	-100	0	0	0	-100	0	0.649	0	
5504433	47831577	0	0	0	2397	0	0.34	0	1016
8519164	9034147	0	0	0	5	0	0.301	0	1017
30529877	-100	0	0	0	-100	0	0.709	0	
31352144	31578365	0	0	0	930	0	0.24	0	1019
34983235	35603856	0	0	0	1974	0	0.56	0	102
6798867	-100	0	0	0	-100	0	0.87	0	
10827745	-100	0	0	0	-100	0	1.201	0	
13227789	13231545	0	0	0	1	0	0.169	0	1022
31858774	38055699	0	0	0	3711	0	0.31	0	1023
14800192	-100	0	0	0	-100	0	0.981	0	
28431527	-100	0	0	0	-100	0	0.899	0	
47830120	54668805	0	0	0	4	0	0.115	0	1026
31368781	31577131	0	0	0	3349	0	0.655	0	1027
19156476	30764689	0	0	0	467	0	0.171	0	1028
18486571	21673531	0	0	0	2531	0	0.319	0	1029
5098680	5106122	0	0	0	4	0	0.285	0	103
20069895	-100	0	0	0	-100	0	0.691	0	
17187032	17229066	0	0	0	316	0	0.264	0	1031
35620660	35770590	0	0	0	2	0	0.12	0	1032
9124797	-100	0	0	0	-100	0	0.516	0	
5001066	10881538	0	0	0	84	0	0.234	0	1034
8304249	-100	0	0	0	-100	0	0.87	0	
12701215	12701254	0	0	0	1	0	0.18	0	1036
15687322	15690796	0	0	0	422	0	0.19	0	1037
20565494	20568042	0	0	0	1	0	0.11	0	1038
44682624	-100	0	0	0	-100	0	0.68	0	
60148919	-100	0	0	0	-100	0	0.6	0	
31051134	31085490	0	0	0	2	0	0.08	0	1040
32623795	40149797	0	0	0	1548	0	0.17	0	1041
7768879	21748979	0	0	0	5	0	0.091	0	1042
7324759	8655541	0	0	0	5	0	0.09	0	1044
36748485	-100	0	0	0	-100	0	0.69	0	
18169816	26673234	0	0	0	2795	0	0.334	0	1046
25432397	39438761	0	0	0	3	0	0.165	0	1047
11786229	15845632	0	0	0	1801	0	0.17	0	1048
18467012	46377123	0	0	0	9547	0	0.89	0	1049
39176648	-100	0	0	0	-100	0	0.63	0	
28428409	47125982	0	0	0	11	0	0.08	0	1050
46452465	46494490	0	0	0	92	0	0.181	0	1051
22472060	-100	0	0	0	-100	0	0.719	0	
39961865	42938112	0	0	0	22	0	0.311	0	1053
27378921	-100	0	0	0	-100	0	0.689	0	
30790768	-100	0	0	0	-100	0	0.62	0	
50266178	-100	0	0	0	-100	0	0.72	0	
6931545	6935660	0	0	0	1	0	0.27	0	1057
4834374	-100	0	0	0	-100	0	0.58	0	
45204305	-100	0	0	0	-100	0	0.82	0	
29255618	60672417	0	0	0	1441	0	0.2	0	106
37330997	39124587	0	0	0	6	0	0.09	0	1060
11990399	12002588	0	0	0	3189	0	0.23	0	1061
3779571	-100	0	0	0	-100	0	0.62	0	
35763376	35766258	0	0	0	1	0	0.15	0	1063
9747765	14794705	0	0	0	6798	0	0.505	0	1064
52055126	-100	0	0	0	-100	0	0.646	0	
35766172	37479828	0	0	0	1519	0	0.219	0	1066
13746035	-100	0	0	0	-100	0	0.751	0	
15014519	-100	0	0	0	-100	0	0.659	0	
20115416	-100	0	0	0	-100	0	0.59	0	
31836529	31854247	0	0	0	1	0	0.201	0	107
11648587	-100	0	0	0	-100	0	0.559	0	
7454102	-100	0	0	0	-100	0	0.66	0	
37510487	37592934	0	0	0	10	0	0.24	0	1072
17732174	-100	0	0	0	-100	0	0.87	0	
3261370	40784584	0	0	0	4982	0	0.34	0	1074
45631959	-100	0	0	0	-100	0	0.725	0	
11869307	34428240	0	0	0	551	0	0.175	0	1077
55521746	-100	0	0	0	-100	0	0.7	0	
33905687	-100	0	0	0	-100	0	0.66	0	
42456966	44943048	0	0	0	183	0	0.19	0	108
38606003	-100	0	0	0	-100	0	0.978	0	
20560203	20565971	0	0	0	2	0	0.112	0	1082
8571754	10757038	0	0	0	11	0	0.07	0	1083
2442713	-100	0	0	0	-100	0	0.65	0	
5355691	-100	0	0	0	-100	0	0.725	0	
6165813	10106965	0	0	0	8977	0	0.625	0	1087
6622316	9433674	0	0	0	7422	0	0.74	0	1088
40465270	-100	0	0	0	-100	0	0.83	0	
43484657	43893805	0	0	0	1105	0	0.22	0	109
38094420	-100	0	0	0	-100	0	0.92	0	
31728837	-100	0	0	0	-100	0	0.58	0	
38909542	38935878	0	0	0	631	0	0.22	0	1092
28513191	47444302	0	0	0	1	0	0.195	0	1093
8909422	-100	0	0	0	-100	0	0.585	0	
13402782	32908279	0	0	0	3231	0	0.28	0	1096
40651224	-100	0	0	0	-100	0	0.781	0	
4830173	6058609	0	0	0	6871	0	0.499	0	1098
13300555	-100	0	0	0	-100	0	0.54	0	
12547716	12548726	0	0	0	1814	0	0.26	0	11
5743045	54851066	0	0	0	9292	0	0.68	0	110
37409181	46785237	0	0	0	34	0	0.335	0	1100
2373948	-100	0	0	0	-100	0	0.655	0	
9018714	-100	0	0	0	-100	0	0.675	0	
26407591	34198923	0	0	0	377	0	0.131	0	1105
26942434	-100	0	0	0	-100	0	0.734	0	
9241682	39956088	0	0	0	71	0	0.06	0	1107
53063120	-100	0	0	0	-100	0	0.64	0	
38904588	-100	0	0	0	-100	0	0.565	0	
26716725	-100	0	0	0	-100	0	0.62	0	
50038757	-100	0	0	0	-100	0	0.61	0	
18983788	-100	0	0	0	-100	0	0.55	0	
32062923	32090832	0	0	0	2	0	0.04	0	1112
11725729	32683145	0	0	0	1	0	0.06	0	1113
50930416	50964820	0	0	0	15	0	0.18	0	1114
21154758	-100	0	0	0	-100	0	0.68	0	
15836688	15837177	0	0	0	1165	0	0.33	0	1116
3259720	4180867	0	0	0	881	0	0.12	0	1117
50562212	50565776	0	0	0	1322	0	0.29	0	1118
39548002	45196244	0	0	0	450	0	0.2	0	1119
23445102	23447985	0	0	0	7119	0	0.52	0	112
4825913	6129593	0	0	0	146	0	0.09	0	1120
18182749	-100	0	0	0	-100	0	0.6	0	
5900176	-100	0	0	0	-100	0	0.56	0	
35233990	35612825	0	0	0	756	0	0.12	0	1123
23544382	-100	0	0	0	-100	0	0.65	0	
16883831	24589202	0	0	0	1008	0	0.15	0	1125
11520465	-100	0	0	0	-100	0	0.51	0	
33496019	33695891	0	0	0	4	0	0.06	0	1127
27893149	-100	0	0	0	-100	0	0.675	0	
38902913	53395079	0	0	0	12	0	0.055	0	1129
21769099	-100	0	0	0	-100	0	0.59	0	
31562845	-100	0	0	0	-100	0	0.64	0	
33135506	33184555	0	0	0	740	0	0.155	0	1131
23610517	-100	0	0	0	-100	0	0.815	0	
15309694	-100	0	0	0	-100	0	0.84	0	
42872201	47335090	0	0	0	9	0	0.205	0	1134
28668610	33251407	0	0	0	1566	0	0.145	0	1135
32435920	-100	0	0	0	-100	0	0.82	0	
6395945	22836358	0	0	0	258	0	0.088	0	1137
28030579	-100	0	0	0	-100	0	0.887	0	
42274398	49766581	0	0	0	696	0	0.25	0	1139
46513349	46533989	0	0	0	21	0	0.12	0	114
7444139	-100	0	0	0	-100	0	0.705	0	
43619882	-100	0	0	0	-100	0	0.73	0	
28469807	28940476	0	0	0	8952	0	0.61	0	1142
42570707	-100	0	0	0	-100	0	0.7	0	
14972641	21717178	0	0	0	159	0	0.17	0	1144
33133277	-100	0	0	0	-100	0	0.84	0	
37382830	38208878	0	0	0	2	0	0.08	0	1148
18452928	-100	0	0	0	-100	0	1.03	0	
13481503	21892652	0	0	0	273	0	0.755	0	115
10994091	-100	0	0	0	-100	0	0.53	0	
16524581	-100	0	0	0	-100	0	0.795	0	
13209429	13209919	0	0	0	1	0	0.19	0	1152
41915357	42044795	0	0	0	77	0	0.12	0	1153
13997962	13998369	0	0	0	1	0	0.05	0	1154
33243567	-100	0	0	0	-100	0	0.66	0	
45190254	-100	0	0	0	-100	0	0.67	0	
35772128	38374376	0	0	0	1250	0	0.16	0	1157
11350287	46400576	0	0	0	4767	0	0.445	0	1158
33596223	33655051	0	0	0	7036	0	0.445	0	1159
17674008	17721109	0	0	0	2	0	0.52	0	116
30681905	-100	0	0	0	-100	0	0.695	0	
3405935	-100	0	0	0	-100	0	0.725	0	
29642759	33252401	0	0	0	1	0	0.16	0	1164
27541838	-100	0	0	0	-100	0	1.261	0	
3245811	-100	0	0	0	-100	0	0.624	0	
3103132	-100	0	0	0	-100	0	0.91	0	
7439748	22970783	0	0	0	1	0	0.075	0	1168
40312436	52799817	0	0	0	520	0	0.11	0	117
11134903	-100	0	0	0	-100	0	0.545	0	
19182680	-100	0	0	0	-100	0	0.575	0	
5905587	5914823	0	0	0	7	0	1.78	0	1172
5889385	5902516	0	0	0	1692	0	1.18	0	1173
32914660	-100	0	0	0	-100	0	0.66	0	
26667235	-100	0	0	0	-100	0	1.33	0	
26599824	-100	0	0	0	-100	0	1.6	0	
34457146	39739882	0	0	0	108	0	0.065	0	118
32494548	34701740	0	0	0	83	0	0.075	0	1181
33203839	34701709	0	0	0	9	0	0.04	0	1182
8367226	9011539	0	0	0	3602	0	1.29	0	1183
2886140	5890379	0	0	0	1571	0	0.16	0	1184
29804329	29817873	0	0	0	1	0	0.05	0	1185
10979790	12156801	0	0	0	7048	0	2.045	0	1186
42041105	47688113	0	0	0	277	0	0.075	0	1187
19496691	19510462	0	0	0	2	0	0.35	0	1188
20091986	20113989	0	0	0	3	0	0.18	0	1189
7710915	7712435	0	0	0	1	0	0.08	0	119
26312082	26313277	0	0	0	1	0	0.16	0	1190
33800924	35774744	0	0	0	56	0	0.05	0	1191
24583354	-100	0	0	0	-100	0	0.58	0	
21592481	21689109	0	0	0	78	0	0.09	0	1193
18015656	39942453	0	0	0	4	0	0.1	0	1194
27359392	27472452	0	0	0	174	0	0.09	0	1195
35223693	-100	0	0	0	-100	0	0.59	0	
30336635	33887962	0	0	0	88	0	0.21	0	1197
12691679	-100	0	0	0	-100	0	0.8	0	
41763378	-100	0	0	0	-100	0	0.62	0	
19358130	19366009	0	0	0	225	0	0.13	0	12
10381270	38684209	0	0	0	3557	0	0.25	0	120
39132398	-100	0	0	0	-100	0	0.79	0	
7817044	10517555	0	0	0	10	0	0.12	0	1201
18865837	29666379	0	0	0	1	0	0.12	0	1202
39417074	39425593	0	0	0	5	0	0.155	0	1203
12107031	-100	0	0	0	-100	0	0.895	0	
15575605	15628155	0	0	0	520	0	0.25	0	1205
12474777	-100	0	0	0	-100	0	0.65	0	
39782438	43610964	0	0	0	22	0	0.405	0	1207
28946049	-100	0	0	0	-100	0	0.715	0	
21146142	-100	0	0	0	-100	0	0.64	0	
19327112	33182667	0	0	0	2390	0	0.14	0	121
14084259	18635135	0	0	0	3	0	0.13	0	1210
10253308	45183038	0	0	0	614	0	0.09	0	1211
48220260	49901629	0	0	0	1	0	0.016	0	1212
32723393	-100	0	0	0	-100	0	0.764	0	
16196368	18010072	0	0	0	8671	0	0.67	0	1214
2995020	19763794	0	0	0	2284	0	0.25	0	1215
30639470	-100	0	0	0	-100	0	0.785	0	
12519235	-100	0	0	0	-100	0	0.64	0	
35744969	35752575	0	0	0	6548	0	0.385	0	1219
19767810	41792867	0	0	0	38	0	0.095	0	122
41234205	42100397	0	0	0	596	0	0.08	0	1221
55143349	55164643	0	0	0	524	0	0.09	0	1222
15334509	15356629	0	0	0	158	0	0.13	0	1223
13338957	22637464	0	0	0	5	0	0.06	0	1225
8655529	-100	0	0	0	-100	0	0.62	0	
45187661	-100	0	0	0	-100	0	0.69	0	
32952413	-100	0	0	0	-100	0	0.75	0	
33923367	48158890	0	0	0	1	0	0.13	0	123
15821334	15836789	0	0	0	1	0	0.12	0	1230
44635641	48151030	0	0	0	60	0	0.07	0	1231
15501207	20560322	0	0	0	4957	0	0.32	0	1232
16089225	17393656	0	0	0	3546	0	0.374	0	1233
35505300	48850879	0	0	0	69	0	0.141	0	1234
9529032	9529285	0	0	0	1	0	0.076	0	1235
14345840	-100	0	0	0	-100	0	0.823	0	
4286075	-100	0	0	0	-100	0	0.905	0	
34521149	-100	0	0	0	-100	0	0.69	0	
35458584	35494087	0	0	0	1	0	0.05	0	124
18120840	22962075	0	0	0	300	0	0.06	0	1240
2937532	3318738	0	0	0	10	0	0.075	0	1241
32597299	32939542	0	0	0	5862	0	0.33	0	1242
61432829	61443779	0	0	0	1470	0	0.185	0	1243
2545148	-100	0	0	0	-100	0	0.48	0	
11625378	11626248	0	0	0	199	0	0.09	0	1246
15295305	-100	0	0	0	-100	0	0.46	0	
8062827	-100	0	0	0	-100	0	0.42	0	
40872414	40985007	0	0	0	1	0	0.04	0	1249
11376294	11376409	0	0	0	11	0	0.06	0	125
37839227	-100	0	0	0	-100	0	0.47	0	
15301607	15325654	0	0	0	3089	0	0.18	0	1251
23158750	51069659	0	0	0	836	0	0.1	0	1252
5434699	10850304	0	0	0	122	0	0.04	0	1253
32611885	38202585	0	0	0	1064	0	0.13	0	1254
26626344	32071265	0	0	0	2700	0	0.18	0	1255
17391055	-100	0	0	0	-100	0	0.86	0	
3114745	-100	0	0	0	-100	0	0.5	0	
8379690	-100	0	0	0	-100	0	0.503	0	
9526509	15499647	0	0	0	9932	0	0.637	0	1259
28700379	-100	0	0	0	-100	0	0.855	0	
21060798	-100	0	0	0	-100	0	0.685	0	
4652969	-100	0	0	0	-100	0	0.64	0	
21178571	-100	0	0	0	-100	0	0.47	0	
28042331	30897348	0	0	0	5000	0	0.3	0	1263
18594694	-100	0	0	0	-100	0	0.476	0	
13887556	18574271	0	0	0	77	0	0.034	0	1266
13720071	13798021	0	0	0	6022	0	0.32	0	1267
38446300	-100	0	0	0	-100	0	0.515	0	
25867539	-100	0	0	0	-100	0	0.545	0	
16635424	26055531	0	0	0	9128	0	0.43	0	127
18804762	24233556	0	0	0	475	0	0.09	0	1270
58210696	58956629	0	0	0	2	0	0.025	0	1271
21583828	-100	0	0	0	-100	0	0.655	0	
61243646	61429649	0	0	0	1556	0	0.21	0	1273
28632489	-100	0	0	0	-100	0	0.56	0	
49620810	51467857	0	0	0	2	0	0.085	0	1275
45802406	-100	0	0	0	-100	0	0.58	0	
24877170	-100	0	0	0	-100	0	0.565	0	
28063957	-100	0	0	0	-100	0	0.54	0	
7634665	7951488	0	0	0	7096	0	0.47	0	1279
32870683	33028729	0	0	0	487	0	0.105	0	128
16126511	-100	0	0	0	-100	0	0.65	0	
11402813	11414987	0	0	0	1	0	0.115	0	1281
8583277	9058135	0	0	0	1121	0	0.13	0	1282
34689722	34692021	0	0	0	1	0	0.06	0	1283
45699693	54874011	0	0	0	18	0	0.07	0	1284
8499554	-100	0	0	0	-100	0	0.465	0	
5604951	10390846	0	0	0	2	0	0.045	0	1287
11620873	11621857	0	0	0	1	0	0.04	0	1288
26300889	-100	0	0	0	-100	0	0.53	0	
53841667	-100	0	0	0	-100	0	0.945	0	
3273342	8665021	0	0	0	1016	0	0.196	0	1290
6377809	6726387	0	0	0	1	0	0.121	0	1291
51990463	51991488	0	0	0	195	0	0.243	0	1293
24727465	-100	0	0	0	-100	0	1.327	0	
27033260	-100	0	0	0	-100	0	1.269	0	
5988681	6027445	0	0	0	8971	0	0.924	0	1296
27873001	40318347	0	0	0	3960	0	0.405	0	1297
31542878	33541905	0	0	0	572	0	0.21	0	1299
10443890	-100	0	0	0	-100	0	1.99	0	
33366547	-100	0	0	0	-100	0	1.795	0	
8473918	9595230	0	0	0	294	0	0.095	0	1300
50482390	-100	0	0	0	-100	0	1.23	0	
51612427	-100	0	0	0	-100	0	1.5	0	
11095222	19500039	0	0	0	399	0	0.14	0	1303
3090041	-100	0	0	0	-100	0	0.815	0	
32066648	-100	0	0	0	-100	0	0.898	0	
9982433	17400940	0	0	0	40	0	0.244	0	1306
30493683	32416971	0	0	0	1	0	0.103	0	1307
31017969	31019377	0	0	0	296	0	0.225	0	1308
14540444	-100	0	0	0	-100	0	1.025	0	
50308838	50309893	0	0	0	3	0	0.165	0	131
