testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
11001746	-100	0	0	0	-100	0	0.563	0	
25130801	25140283	0	0	0	2	0	0.15	0	10
44944974	47690024	0	0	0	131	0	0.071	0	100
2824015	-100	0	0	0	-100	0	0.302	0	
12894976	-100	0	0	0	-100	0	0.222	0	
6939122	-100	0	0	0	-100	0	0.189	0	
48882043	54477591	0	0	0	336	0	0.062	0	1003
51365778	-100	0	0	0	-100	0	0.272	0	
37895231	-100	0	0	0	-100	0	0.281	0	
33995548	38395820	0	0	0	71	0	0.103	0	1007
4693943	17948578	0	0	0	1	0	0.14	0	1008
34201353	34204802	0	0	0	1	0	0.071	0	1009
40226233	40294906	0	0	0	57	0	0.159	0	101
38395473	38435531	0	0	0	2889	0	0.113	0	1010
3268068	-100	0	0	0	-100	0	0.192	0	
9370145	15008386	0	0	0	2087	0	0.091	0	1012
17062749	-100	0	0	0	-100	0	0.169	0	
28739533	28776161	0	0	0	597	0	0.123	0	1014
27384584	-100	0	0	0	-100	0	0.171	0	
5504433	47831577	0	0	0	4018	0	0.131	0	1016
8519164	-100	0	0	0	-100	0	0.172	0	
30529877	-100	0	0	0	-100	0	0.199	0	
31352144	31578365	0	0	0	1	0	0.053	0	1019
34983235	35603856	0	0	0	6642	0	0.171	0	102
6798867	-100	0	0	0	-100	0	0.201	0	
10827745	-100	0	0	0	-100	0	0.222	0	
13227789	13231545	0	0	0	444	0	0.065	0	1022
31858774	38055699	0	0	0	1	0	0.053	0	1023
14800192	38229443	0	0	0	48	0	0.132	0	1024
28431527	-100	0	0	0	-100	0	0.185	0	
47830120	54668805	0	0	0	9	0	0.063	0	1026
31368781	-100	0	0	0	-100	0	0.301	0	
19156476	30764689	0	0	0	1536	0	0.122	0	1028
18486571	21673531	0	0	0	480	0	0.085	0	1029
5098680	5106122	0	0	0	599	0	0.062	0	103
20069895	-100	0	0	0	-100	0	0.185	0	
17187032	17229066	0	0	0	3026	0	0.085	0	1031
35620660	35795014	0	0	0	2	0	0.062	0	1032
9124797	-100	0	0	0	-100	0	0.207	0	
5001066	10881538	0	0	0	58	0	0.047	0	1034
8304249	9351509	0	0	0	405	0	0.132	0	1035
12701215	12701254	0	0	0	55	0	0.084	0	1036
15687322	-100	0	0	0	-100	0	0.158	0	
20565494	20568042	0	0	0	425	0	0.067	0	1038
44682624	44704999	0	0	0	2035	0	0.132	0	1039
60148919	60267351	0	0	0	3577	0	0.116	0	104
31051134	31085490	0	0	0	172	0	0.049	0	1040
32623795	-100	0	0	0	-100	0	0.151	0	
7768879	-100	0	0	0	-100	0	0.161	0	
7324759	-100	0	0	0	-100	0	0.301	0	
36748485	-100	0	0	0	-100	0	0.193	0	
18169816	26673234	0	0	0	5076	0	0.212	0	1046
25432397	39438761	0	0	0	23	0	0.214	0	1047
11786229	-100	0	0	0	-100	0	0.643	0	
18467012	46377123	0	0	0	2097	0	0.217	0	1049
39176648	-100	0	0	0	-100	0	0.381	0	
28428409	-100	0	0	0	-100	0	0.368	0	
46452465	46494490	0	0	0	5366	0	0.31	0	1051
22472060	-100	0	0	0	-100	0	0.478	0	
39961865	42938112	0	0	0	22	0	0.122	0	1053
27378921	-100	0	0	0	-100	0	0.2	0	
30790768	-100	0	0	0	-100	0	0.232	0	
50266178	50270375	0	0	0	447	0	0.085	0	1056
6931545	6935660	0	0	0	302	0	0.062	0	1057
4834374	-100	0	0	0	-100	0	0.154	0	
45204305	45205410	0	0	0	8	0	0.1	0	1059
29255618	-100	0	0	0	-100	0	0.185	0	
37330997	39124587	0	0	0	4	0	0.069	0	1060
11990399	12002588	0	0	0	79	0	0.047	0	1061
3779571	7040742	0	0	0	5001	0	0.169	0	1062
35763376	35766258	0	0	0	12	0	0.085	0	1063
9747765	14794705	0	0	0	777	0	0.063	0	1064
52055126	-100	0	0	0	-100	0	0.254	0	
35766172	-100	0	0	0	-100	0	0.231	0	
13746035	32231734	0	0	0	36	0	0.054	0	1067
15014519	42706286	0	0	0	3001	0	0.078	0	1068
20115416	-100	0	0	0	-100	0	0.185	0	
31836529	31854247	0	0	0	1509	0	0.1	0	107
11648587	-100	0	0	0	-100	0	0.15	0	
7454102	12939085	0	0	0	4786	0	0.179	0	1071
37510487	37592934	0	0	0	4383	0	0.164	0	1072
17732174	20063397	0	0	0	86	0	0.101	0	1073
3261370	-100	0	0	0	-100	0	0.151	0	
45631959	46590084	0	0	0	2448	0	0.182	0	1076
11869307	-100	0	0	0	-100	0	0.171	0	
55521746	55540809	0	0	0	244	0	0.071	0	1078
33905687	-100	0	0	0	-100	0	0.222	0	
42456966	44943048	0	0	0	3	0	0.061	0	108
38606003	49719843	0	0	0	2493	0	0.088	0	1081
20560203	-100	0	0	0	-100	0	0.151	0	
8571754	10757038	0	0	0	2720	0	0.152	0	1083
2442713	10635739	0	0	0	448	0	0.1	0	1084
5355691	-100	0	0	0	-100	0	0.185	0	
6165813	10106965	0	0	0	3496	0	0.131	0	1087
6622316	-100	0	0	0	-100	0	0.159	0	
40465270	45201346	0	0	0	442	0	0.061	0	1089
43484657	-100	0	0	0	-100	0	0.173	0	
38094420	60079472	0	0	0	1	0	0.049	0	1090
31728837	32920867	0	0	0	81	0	0.072	0	1091
38909542	-100	0	0	0	-100	0	0.162	0	
28513191	47444302	0	0	0	161	0	0.05	0	1093
8909422	-100	0	0	0	-100	0	0.159	0	
13402782	32908279	0	0	0	6768	0	0.204	0	1096
40651224	46773509	0	0	0	1233	0	0.07	0	1097
4830173	6058609	0	0	0	527	0	0.051	0	1098
13300555	-100	0	0	0	-100	0	0.169	0	
12547716	12548726	0	0	0	1734	0	0.073	0	11
5743045	54851066	0	0	0	6055	0	0.129	0	110
37409181	46785237	0	0	0	2438	0	0.143	0	1100
2373948	7975394	0	0	0	1784	0	0.101	0	1102
9018714	10330296	0	0	0	3952	0	0.101	0	1104
26407591	34198923	0	0	0	5	0	0.084	0	1105
26942434	-100	0	0	0	-100	0	0.259	0	
9241682	39956088	0	0	0	14	0	0.116	0	1107
53063120	-100	0	0	0	-100	0	0.162	0	
38904588	38907185	0	0	0	1775	0	0.085	0	1109
26716725	-100	0	0	0	-100	0	0.15	0	
50038757	50042552	0	0	0	712	0	0.061	0	1110
18983788	-100	0	0	0	-100	0	0.25	0	
32062923	-100	0	0	0	-100	0	0.163	0	
11725729	32683145	0	0	0	2966	0	0.111	0	1113
50930416	50964820	0	0	0	462	0	0.065	0	1114
21154758	40562312	0	0	0	1458	0	0.065	0	1115
15836688	15837177	0	0	0	1	0	0.051	0	1116
3259720	-100	0	0	0	-100	0	0.262	0	
50562212	50565776	0	0	0	8431	0	0.201	0	1118
39548002	-100	0	0	0	-100	0	0.202	0	
23445102	23447985	0	0	0	8217	0	0.179	0	112
4825913	6129593	0	0	0	326	0	0.05	0	1120
18182749	40477115	0	0	0	1474	0	0.093	0	1121
5900176	-100	0	0	0	-100	0	0.182	0	
35233990	-100	0	0	0	-100	0	0.161	0	
23544382	26655992	0	0	0	2154	0	0.111	0	1124
16883831	24589202	0	0	0	9	0	0.08	0	1125
11520465	-100	0	0	0	-100	0	0.17	0	
33496019	33695891	0	0	0	2110	0	0.131	0	1127
27893149	27894831	0	0	0	5208	0	0.141	0	1128
38902913	53395079	0	0	0	22	0	0.083	0	1129
21769099	39654279	0	0	0	184	0	0.06	0	113
31562845	-100	0	0	0	-100	0	0.161	0	
33135506	-100	0	0	0	-100	0	0.2	0	
23610517	23801934	0	0	0	26	0	0.042	0	1132
15309694	-100	0	0	0	-100	0	0.222	0	
42872201	47335090	0	0	0	115	0	0.111	0	1134
28668610	33251407	0	0	0	81	0	0.08	0	1135
32435920	46299215	0	0	0	3109	0	0.17	0	1136
6395945	-100	0	0	0	-100	0	0.157	0	
28030579	28834089	0	0	0	1541	0	0.1	0	1138
42274398	49766581	0	0	0	20	0	0.085	0	1139
46513349	46533989	0	0	0	178	0	0.131	0	114
7444139	-100	0	0	0	-100	0	0.154	0	
43619882	43623272	0	0	0	562	0	0.1	0	1141
28469807	28940476	0	0	0	18	0	0.132	0	1142
42570707	-100	0	0	0	-100	0	0.3	0	
14972641	-100	0	0	0	-100	0	0.207	0	
33133277	33463556	0	0	0	9361	0	0.201	0	1146
37382830	38208878	0	0	0	20	0	0.081	0	1148
18452928	18460982	0	0	0	772	0	0.06	0	1149
13481503	21892652	0	0	0	455	0	0.101	0	115
10994091	31146340	0	0	0	2578	0	0.131	0	1150
16524581	24875201	0	0	0	3283	0	0.141	0	1151
13209429	-100	0	0	0	-100	0	0.193	0	
41915357	42044795	0	0	0	4979	0	0.18	0	1153
13997962	13998369	0	0	0	1	0	0.072	0	1154
33243567	33277221	0	0	0	220	0	0.151	0	1155
45190254	-100	0	0	0	-100	0	0.252	0	
35772128	38374376	0	0	0	10	0	0.089	0	1157
11350287	-100	0	0	0	-100	0	0.193	0	
33596223	-100	0	0	0	-100	0	0.181	0	
17674008	17721109	0	0	0	32	0	0.061	0	116
30681905	34355207	0	0	0	2763	0	0.119	0	1162
3405935	3542219	0	0	0	167	0	0.082	0	1163
29642759	33252401	0	0	0	2122	0	0.081	0	1164
27541838	51009423	0	0	0	9018	0	0.24	0	1165
3245811	15901971	0	0	0	1	0	0.04	0	1166
3103132	-100	0	0	0	-100	0	0.181	0	
7439748	22970783	0	0	0	12	0	0.101	0	1168
40312436	52799817	0	0	0	8306	0	0.161	0	117
11134903	23205511	0	0	0	57	0	0.081	0	1170
19182680	19362095	0	0	0	46	0	0.05	0	1171
5905587	5914823	0	0	0	341	0	0.06	0	1172
5889385	5902516	0	0	0	603	0	0.061	0	1173
32914660	43370329	0	0	0	69	0	0.081	0	1175
26667235	-100	0	0	0	-100	0	0.211	0	
26599824	27123561	0	0	0	94	0	0.079	0	1178
34457146	39739882	0	0	0	3191	0	0.151	0	118
32494548	34701740	0	0	0	9624	0	0.153	0	1181
