testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
11001746	-100	0	0	0	-100	0	0.556	0	
25130801	25140283	0	0	0	6	0	0.1	0	10
44944974	47690024	0	0	0	8160	0	0.254	0	100
2824015	2855013	0	0	0	237	0	0.047	0	1000
12894976	12920429	0	0	0	1	0	0.031	0	1001
6939122	-100	0	0	0	-100	0	0.301	0	
48882043	-100	0	0	0	-100	0	0.275	0	
51365778	54216067	0	0	0	422	0	0.048	0	1005
37895231	-100	0	0	0	-100	0	0.244	0	
33995548	-100	0	0	0	-100	0	0.232	0	
4693943	-100	0	0	0	-100	0	0.241	0	
34201353	34204802	0	0	0	36	0	0.01	0	1009
40226233	40294906	0	0	0	143	0	0.131	0	101
38395473	38435531	0	0	0	766	0	0.069	0	1010
3268068	-100	0	0	0	-100	0	0.252	0	
9370145	15008386	0	0	0	17	0	0.032	0	1012
17062749	17574111	0	0	0	2	0	0.03	0	1013
28739533	28776161	0	0	0	4757	0	0.121	0	1014
27384584	-100	0	0	0	-100	0	0.271	0	
5504433	47831577	0	0	0	2	0	0.042	0	1016
8519164	9034147	0	0	0	3	0	0.02	0	1017
30529877	53430517	0	0	0	1681	0	0.071	0	1018
31352144	31578365	0	0	0	298	0	0.05	0	1019
34983235	35603856	0	0	0	5838	0	0.139	0	102
6798867	-100	0	0	0	-100	0	0.264	0	
10827745	16373550	0	0	0	243	0	0.028	0	1021
13227789	13231545	0	0	0	272	0	0.012	0	1022
31858774	38055699	0	0	0	12	0	0.041	0	1023
14800192	38229443	0	0	0	17	0	0.02	0	1024
28431527	29137920	0	0	0	152	0	0.02	0	1025
47830120	54668805	0	0	0	1	0	0.06	0	1026
31368781	31577131	0	0	0	1	0	0.041	0	1027
19156476	30764689	0	0	0	6153	0	0.209	0	1028
18486571	21673531	0	0	0	2672	0	0.071	0	1029
5098680	5106122	0	0	0	1305	0	0.052	0	103
20069895	26333721	0	0	0	9916	0	0.212	0	1030
17187032	17229066	0	0	0	2304	0	0.07	0	1031
35620660	35795014	0	0	0	2	0	0.0	0	1032
9124797	9223264	0	0	0	7292	0	0.202	0	1033
5001066	10881538	0	0	0	481	0	0.058	0	1034
8304249	9351509	0	0	0	11	0	0.022	0	1035
12701215	12701254	0	0	0	2	0	0.01	0	1036
