testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
6549791	-100	0	0	0	-100	0	128.123	0	
23063520	51892382	0	0	0	3484	0	3.046	0	10
61278669	-100	0	0	0	-100	0	1.838	0	
16376942	32612190	0	0	0	207	0	1.183	0	1000
38779944	-100	0	0	0	-100	0	2.015	0	
33344259	-100	0	0	0	-100	0	0.95	0	
41470590	41582286	0	0	0	505	0	0.384	0	1003
4508119	52127154	0	0	0	7	0	0.949	0	1004
41077828	41105621	0	0	0	1	0	0.418	0	1008
52303316	53651609	0	0	0	3	0	0.634	0	1009
29308174	-100	0	0	0	-100	0	1.079	0	
29269124	-100	0	0	0	-100	0	0.744	0	
33519285	33667049	0	0	0	12	0	0.245	0	1011
2849832	21022436	0	0	0	381	0	0.16	0	1012
31291004	31396977	0	0	0	39	0	0.169	0	1014
14676574	23970485	0	0	0	3464	0	0.279	0	1015
4769124	4769229	0	0	0	685	0	0.777	0	1016
25487373	25740313	0	0	0	2001	0	0.192	0	1017
4892108	-100	0	0	0	-100	0	0.659	0	
9243816	40179693	0	0	0	4333	0	0.333	0	1019
52627048	52648687	0	0	0	1	0	0.237	0	102
36696312	-100	0	0	0	-100	0	0.415	0	
3669315	30836009	0	0	0	97	0	0.14	0	1021
15277480	15303398	0	0	0	3	0	0.163	0	1022
2429485	10465805	0	0	0	61	0	0.076	0	1023
6722643	34652792	0	0	0	2673	0	0.166	0	1024
50381258	50401555	0	0	0	2747	0	0.329	0	1025
61653399	61676227	0	0	0	1	0	0.209	0	1026
18490942	-100	0	0	0	-100	0	0.499	0	
980149	981400	0	0	0	3764	0	0.353	0	1028
14170770	-100	0	0	0	-100	0	0.457	0	
29179035	29179208	0	0	0	89	0	0.172	0	103
3541529	13014145	0	0	0	1346	0	0.078	0	1033
31512485	-100	0	0	0	-100	0	0.688	0	
3641737	14232814	0	0	0	285	0	0.034	0	1035
48283026	-100	0	0	0	-100	0	0.553	0	
3560710	55098580	0	0	0	3	0	0.061	0	1037
48282811	48302501	0	0	0	2	0	0.076	0	1038
18666218	-100	0	0	0	-100	0	0.598	0	
14091203	-100	0	0	0	-100	0	0.528	0	
7912595	-100	0	0	0	-100	0	0.531	0	
46709752	46724902	0	0	0	691	0	0.201	0	1041
9223153	9223441	0	0	0	6	0	0.108	0	1042
11126547	11149134	0	0	0	311	0	0.13	0	1043
163962	-100	0	0	0	-100	0	0.517	0	
18701798	-100	0	0	0	-100	0	0.468	0	
3992874	5056645	0	0	0	1	0	0.078	0	1046
5396413	-100	0	0	0	-100	0	0.501	0	
893841	21590507	0	0	0	3568	0	0.25	0	1048
13954299	20232685	0	0	0	8472	0	0.427	0	1049
59267797	59268030	0	0	0	20	0	0.098	0	105
24688959	24706053	0	0	0	2	0	0.065	0	1050
11602136	-100	0	0	0	-100	0	0.437	0	
55955656	-100	0	0	0	-100	0	0.483	0	
9619774	-100	0	0	0	-100	0	0.463	0	
23377647	23389672	0	0	0	12	0	0.111	0	1054
20717180	-100	0	0	0	-100	0	0.549	0	
5345803	-100	0	0	0	-100	0	0.517	0	
51951195	-100	0	0	0	-100	0	0.46	0	
21089553	21110352	0	0	0	24	0	0.077	0	1058
7811656	7910666	0	0	0	940	0	0.168	0	1059
4129430	-100	0	0	0	-100	0	0.509	0	
4571355	-100	0	0	0	-100	0	0.462	0	
308364	-100	0	0	0	-100	0	0.464	0	
22852717	22898881	0	0	0	1	0	0.135	0	1062
2860722	-100	0	0	0	-100	0	0.462	0	
29762813	29762892	0	0	0	940	0	0.101	0	1064
36749923	-100	0	0	0	-100	0	0.513	0	
20114685	-100	0	0	0	-100	0	0.449	0	
4764048	4836344	0	0	0	1839	0	0.214	0	1067
24013832	-100	0	0	0	-100	0	0.508	0	
104952	-100	0	0	0	-100	0	0.56	0	
35586426	35587137	0	0	0	2	0	0.065	0	107
61869567	61873532	0	0	0	1	0	0.095	0	1070
32551089	32552353	0	0	0	2190	0	0.153	0	1071
40544480	40553609	0	0	0	1	0	0.126	0	1072
2847410	2847734	0	0	0	2	0	0.036	0	1073
2978096	2981724	0	0	0	12	0	0.052	0	1074
49590038	52581857	0	0	0	3	0	0.03	0	1075
8433421	-100	0	0	0	-100	0	0.444	0	
56598489	56649481	0	0	0	180	0	0.093	0	1078
31301369	-100	0	0	0	-100	0	0.466	0	
40566994	40570886	0	0	0	207	0	0.089	0	108
30886056	30977618	0	0	0	658	0	0.122	0	1080
38487653	40414721	0	0	0	103	0	0.091	0	1081
7646512	-100	0	0	0	-100	0	0.547	0	
14368525	15181579	0	0	0	1365	0	0.128	0	1083
5123361	36634632	0	0	0	2409	0	0.129	0	109
642213	-100	0	0	0	-100	0	0.414	0	
7492180	-100	0	0	0	-100	0	0.406	0	
33860576	-100	0	0	0	-100	0	0.438	0	
1092561	4537581	0	0	0	37	0	0.031	0	1095
19442400	26670147	0	0	0	706	0	0.066	0	1096
35553999	35572515	0	0	0	631	0	0.143	0	1097
2897317	3091484	0	0	0	938	0	0.107	0	1098
35901417	35902965	0	0	0	2797	0	0.206	0	11
8071851	-100	0	0	0	-100	0	0.47	0	
53151044	53151521	0	0	0	1	0	0.1	0	111
14738335	28955478	0	0	0	32	0	0.038	0	1119
17497801	17543093	0	0	0	540	0	0.072	0	112
25046418	-100	0	0	0	-100	0	0.439	0	
2506167	-100	0	0	0	-100	0	0.434	0	
26845249	26876967	0	0	0	8	0	0.089	0	1122
41463005	-100	0	0	0	-100	0	0.427	0	
30781811	30976131	0	0	0	283	0	0.064	0	1124
2770474	2771016	0	0	0	543	0	0.05	0	1125
22041699	-100	0	0	0	-100	0	0.427	0	
15826893	-100	0	0	0	-100	0	0.464	0	
13565594	13567029	0	0	0	21	0	0.086	0	113
9863610	36910918	0	0	0	2035	0	0.166	0	1131
43105753	43106069	0	0	0	130	0	0.059	0	1132
43558745	43562870	0	0	0	1115	0	0.085	0	1133
6783939	6784152	0	0	0	2	0	0.075	0	1134
6858524	-100	0	0	0	-100	0	0.498	0	
8169243	-100	0	0	0	-100	0	0.459	0	
57441890	62091548	0	0	0	2026	0	0.152	0	1137
26519082	39966190	0	0	0	3060	0	0.251	0	1138
10454150	16033266	0	0	0	13	0	0.066	0	1139
48167985	-100	0	0	0	-100	0	0.489	0	
13295089	14472359	0	0	0	985	0	0.097	0	1140
44960715	44977868	0	0	0	19	0	0.067	0	1141
16032789	16063402	0	0	0	41	0	0.033	0	1142
28405921	28408195	0	0	0	2008	0	0.145	0	1143
50897768	-100	0	0	0	-100	0	0.471	0	
58508771	-100	0	0	0	-100	0	0.492	0	
22746429	28918861	0	0	0	7203	0	0.329	0	1146
2663170	-100	0	0	0	-100	0	0.475	0	
5633784	11177580	0	0	0	118	0	0.016	0	1148
1459865	2925279	0	0	0	93	0	0.023	0	1149
58390998	-100	0	0	0	-100	0	0.446	0	
30993211	34644101	0	0	0	4792	0	0.243	0	1151
27041788	27490165	0	0	0	361	0	0.05	0	1152
1875830	1876179	0	0	0	9	0	0.04	0	1153
49289854	51834198	0	0	0	1010	0	0.071	0	1154
14730156	-100	0	0	0	-100	0	0.47	0	
61120228	-100	0	0	0	-100	0	0.444	0	
1613494	2259544	0	0	0	4	0	0.062	0	1157
10002082	10009132	0	0	0	346	0	0.058	0	1158
35701888	-100	0	0	0	-100	0	0.438	0	
32700265	32730915	0	0	0	1	0	0.102	0	116
41197021	-100	0	0	0	-100	0	0.464	0	
21143275	-100	0	0	0	-100	0	0.464	0	
18182016	21356302	0	0	0	3970	0	0.23	0	1162
15444418	15444503	0	0	0	1	0	0.097	0	1163
3726326	-100	0	0	0	-100	0	0.477	0	
14457724	-100	0	0	0	-100	0	0.455	0	
6123327	-100	0	0	0	-100	0	0.4	0	
15704276	15768405	0	0	0	6	0	0.244	0	1167
41720249	-100	0	0	0	-100	0	0.404	0	
7116610	-100	0	0	0	-100	0	0.447	0	
13586957	41628620	0	0	0	255	0	0.045	0	117
30385900	39590272	0	0	0	293	0	0.068	0	1170
27564257	27662074	0	0	0	363	0	0.067	0	1171
31814451	31866822	0	0	0	1246	0	0.093	0	1172
33855611	33857489	0	0	0	1237	0	0.101	0	1173
1693634	1694785	0	0	0	1	0	0.007	0	1174
34836104	34904049	0	0	0	12	0	0.059	0	1175
48273253	48341888	0	0	0	1212	0	0.082	0	1176
21185634	-100	0	0	0	-100	0	0.461	0	
4807286	22654422	0	0	0	44	0	0.045	0	1179
30110297	38466574	0	0	0	11	0	0.11	0	118
10578359	10579544	0	0	0	7	0	0.08	0	1180
5355163	-100	0	0	0	-100	0	0.441	0	
33280217	33283275	0	0	0	736	0	0.1	0	1183
46961749	46980595	0	0	0	5466	0	0.301	0	1184
21867222	-100	0	0	0	-100	0	0.451	0	
1212797	1213265	0	0	0	1	0	0.09	0	1186
33854388	38953523	0	0	0	6365	0	0.403	0	1187
24155026	24155571	0	0	0	1	0	0.035	0	1188
38021595	46437172	0	0	0	1	0	0.051	0	1189
29603018	-100	0	0	0	-100	0	0.452	0	
21936507	-100	0	0	0	-100	0	0.452	0	
4385806	4396754	0	0	0	1399	0	0.168	0	1191
48131712	-100	0	0	0	-100	0	0.464	0	
55045367	-100	0	0	0	-100	0	0.518	0	
25915607	25958491	0	0	0	4	0	0.062	0	1194
29135201	42184288	0	0	0	87	0	0.043	0	1195
5957134	-100	0	0	0	-100	0	0.511	0	
11833571	11860703	0	0	0	8549	0	0.61	0	1197
19269345	-100	0	0	0	-100	0	0.498	0	
39620802	39621098	0	0	0	188	0	0.051	0	1199
5109687	5109720	0	0	0	108	0	0.155	0	12
50892964	-100	0	0	0	-100	0	0.798	0	
51282912	51284346	0	0	0	1	0	0.047	0	1201
840081	-100	0	0	0	-100	0	0.502	0	
6969465	6969584	0	0	0	1	0	0.037	0	1203
17862383	17920081	0	0	0	5	0	0.072	0	1204
11833070	-100	0	0	0	-100	0	0.614	0	
45990714	-100	0	0	0	-100	0	0.553	0	
14412846	-100	0	0	0	-100	0	0.604	0	
48835628	49057387	0	0	0	13	0	0.088	0	1209
9848423	16813653	0	0	0	179	0	0.101	0	1210
822750	-100	0	0	0	-100	0	0.642	0	
17204487	-100	0	0	0	-100	0	0.853	0	
46960015	-100	0	0	0	-100	0	0.604	0	
5541256	5542443	0	0	0	1	0	0.038	0	1214
46435719	-100	0	0	0	-100	0	0.512	0	
23629126	23654693	0	0	0	332	0	0.22	0	1216
8427691	23122555	0	0	0	10	0	0.062	0	1217
229924	11981434	0	0	0	2	0	0.025	0	1218
511768	40273809	0	0	0	121	0	0.622	0	1219
59437118	59464455	0	0	0	1	0	0.111	0	122
33343188	-100	0	0	0	-100	0	0.839	0	
1047200	9912873	0	0	0	25	0	0.045	0	1221
4242469	32288601	0	0	0	5	0	0.354	0	1222
18648069	-100	0	0	0	-100	0	1.015	0	
728233	-100	0	0	0	-100	0	0.598	0	
1666802	23230003	0	0	0	158	0	0.091	0	1225
8424303	8424672	0	0	0	2	0	0.018	0	1226
2268478	-100	0	0	0	-100	0	1.638	0	
14578711	14582270	0	0	0	4	0	0.156	0	1228
33852194	33881027	0	0	0	1	0	0.063	0	1229
50261793	-100	0	0	0	-100	0	0.84	0	
21400254	42979325	0	0	0	583	0	0.113	0	1230
4276493	26611481	0	0	0	224	0	0.244	0	1231
6358375	23890539	0	0	0	23	0	0.067	0	1232
8891746	-100	0	0	0	-100	0	1.129	0	
46334463	-100	0	0	0	-100	0	0.883	0	
21556868	-100	0	0	0	-100	0	1.239	0	
46737054	50629016	0	0	0	620	0	0.228	0	1236
6850807	56050322	0	0	0	1	0	1.746	0	1237
1607748	1608733	0	0	0	1	0	1.763	0	1238
61376375	61599629	0	0	0	1	0	0.721	0	1239
53407371	-100	0	0	0	-100	0	0.616	0	
19841328	19864735	0	0	0	5064	0	0.41	0	1240
49317541	49325813	0	0	0	11	0	1.173	0	1241
1969579	13287963	0	0	0	137	0	0.135	0	1242
1274022	-100	0	0	0	-100	0	0.95	0	
17711655	21792347	0	0	0	2740	0	0.541	0	1244
