testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
6549791	6551806	0	0	0	1	0	0.48	0	1
23063520	-100	0	0	0	-100	0	0.446	0	
61278669	61280032	0	0	0	2730	0	0.255	0	100
16376942	32612190	0	0	0	17	0	0.146	0	1000
38779944	43088282	0	0	0	587	0	0.136	0	1001
33344259	33371684	0	0	0	7527	0	0.553	0	1002
41470590	-100	0	0	0	-100	0	0.294	0	
4508119	52127154	0	0	0	73	0	0.074	0	1004
41077828	41105621	0	0	0	53	0	0.079	0	1008
52303316	53651609	0	0	0	5946	0	0.253	0	1009
29308174	37685434	0	0	0	52	0	0.1	0	101
29269124	32039711	0	0	0	72	0	0.17	0	1010
33519285	-100	0	0	0	-100	0	0.363	0	
2849832	-100	0	0	0	-100	0	0.265	0	
31291004	31396977	0	0	0	8580	0	0.205	0	1014
14676574	23970485	0	0	0	4530	0	0.159	0	1015
4769124	4769229	0	0	0	11	0	0.056	0	1016
25487373	25740313	0	0	0	1	0	0.077	0	1017
4892108	-100	0	0	0	-100	0	0.276	0	
9243816	40179693	0	0	0	1	0	0.073	0	1019
52627048	52648687	0	0	0	9	0	0.055	0	102
36696312	-100	0	0	0	-100	0	0.217	0	
3669315	30836009	0	0	0	965	0	0.116	0	1021
15277480	15303398	0	0	0	1	0	0.213	0	1022
2429485	10465805	0	0	0	335	0	0.08	0	1023
6722643	34652792	0	0	0	5622	0	0.148	0	1024
50381258	50401555	0	0	0	2	0	0.049	0	1025
61653399	61676227	0	0	0	1724	0	0.083	0	1026
18490942	18494218	0	0	0	360	0	0.07	0	1027
980149	981400	0	0	0	543	0	0.067	0	1028
14170770	-100	0	0	0	-100	0	0.213	0	
29179035	-100	0	0	0	-100	0	0.294	0	
3541529	13014145	0	0	0	3654	0	0.184	0	1033
31512485	33534115	0	0	0	23	0	0.105	0	1034
3641737	14232814	0	0	0	1186	0	0.106	0	1035
48283026	49397233	0	0	0	406	0	0.153	0	1036
3560710	-100	0	0	0	-100	0	0.343	0	
48282811	48302501	0	0	0	1	0	0.091	0	1038
18666218	-100	0	0	0	-100	0	0.329	0	
14091203	14091855	0	0	0	254	0	0.07	0	104
7912595	19535644	0	0	0	4945	0	0.182	0	1040
46709752	46724902	0	0	0	3	0	0.069	0	1041
9223153	-100	0	0	0	-100	0	0.291	0	
11126547	11149134	0	0	0	1	0	0.066	0	1043
163962	390977	0	0	0	10	0	0.067	0	1044
18701798	24088373	0	0	0	311	0	0.084	0	1045
3992874	-100	0	0	0	-100	0	0.252	0	
5396413	-100	0	0	0	-100	0	0.216	0	
893841	21590507	0	0	0	657	0	0.104	0	1048
13954299	-100	0	0	0	-100	0	0.261	0	
59267797	-100	0	0	0	-100	0	0.222	0	
24688959	24706053	0	0	0	316	0	0.049	0	1050
11602136	-100	0	0	0	-100	0	0.162	0	
55955656	56408112	0	0	0	2	0	0.051	0	1052
9619774	10679416	0	0	0	5906	0	0.149	0	1053
23377647	23389672	0	0	0	1318	0	0.101	0	1054
20717180	-100	0	0	0	-100	0	0.2	0	
5345803	-100	0	0	0	-100	0	0.16	0	
51951195	-100	0	0	0	-100	0	0.166	0	
21089553	21110352	0	0	0	1	0	0.038	0	1058
7811656	7910666	0	0	0	1	0	0.044	0	1059
4129430	-100	0	0	0	-100	0	0.187	0	
4571355	-100	0	0	0	-100	0	0.161	0	
308364	24765685	0	0	0	149	0	0.052	0	1061
22852717	22898881	0	0	0	3567	0	0.093	0	1062
2860722	3983131	0	0	0	2197	0	0.072	0	1063
29762813	29762892	0	0	0	44	0	0.07	0	1064
36749923	39920813	0	0	0	4543	0	0.092	0	1065
20114685	-100	0	0	0	-100	0	0.129	0	
4764048	-100	0	0	0	-100	0	0.16	0	
24013832	-100	0	0	0	-100	0	0.168	0	
104952	307478	0	0	0	1	0	0.043	0	1069
35586426	35587137	0	0	0	648	0	0.044	0	107
61869567	61873532	0	0	0	231	0	0.045	0	1070
32551089	-100	0	0	0	-100	0	0.182	0	
40544480	40553609	0	0	0	159	0	0.106	0	1072
2847410	-100	0	0	0	-100	0	0.207	0	
2978096	2981724	0	0	0	4234	0	0.095	0	1074
49590038	52581857	0	0	0	1373	0	0.057	0	1075
8433421	14857597	0	0	0	767	0	0.069	0	1076
56598489	56649481	0	0	0	584	0	0.109	0	1078
31301369	-100	0	0	0	-100	0	0.192	0	
40566994	40570886	0	0	0	106	0	0.041	0	108
30886056	30977618	0	0	0	1	0	0.045	0	1080
38487653	-100	0	0	0	-100	0	0.13	0	
7646512	-100	0	0	0	-100	0	0.138	0	
14368525	-100	0	0	0	-100	0	0.173	0	
5123361	36634632	0	0	0	35	0	0.042	0	109
642213	9743485	0	0	0	2925	0	0.078	0	1092
7492180	-100	0	0	0	-100	0	0.137	0	
33860576	-100	0	0	0	-100	0	0.134	0	
1092561	-100	0	0	0	-100	0	0.163	0	
19442400	26670147	0	0	0	1414	0	0.075	0	1096
35553999	35572515	0	0	0	452	0	0.071	0	1097
2897317	3091484	0	0	0	186	0	0.043	0	1098
35901417	35902965	0	0	0	689	0	0.077	0	11
8071851	8081919	0	0	0	1	0	0.047	0	110
53151044	53151521	0	0	0	1	0	0.058	0	111
14738335	28955478	0	0	0	2544	0	0.147	0	1119
17497801	17543093	0	0	0	52	0	0.098	0	112
25046418	25047109	0	0	0	1332	0	0.076	0	1120
2506167	-100	0	0	0	-100	0	0.195	0	
26845249	26876967	0	0	0	5623	0	0.125	0	1122
41463005	51423426	0	0	0	391	0	0.089	0	1123
30781811	30976131	0	0	0	85	0	0.127	0	1124
2770474	-100	0	0	0	-100	0	0.239	0	
22041699	42095280	0	0	0	3569	0	0.105	0	1126
15826893	15932767	0	0	0	1162	0	0.078	0	1129
13565594	13567029	0	0	0	937	0	0.096	0	113
9863610	36896140	0	0	0	2641	0	0.092	0	1131
43105753	43106069	0	0	0	12	0	0.053	0	1132
43558745	43562870	0	0	0	289	0	0.059	0	1133
6783939	6784152	0	0	0	215	0	0.054	0	1134
6858524	-100	0	0	0	-100	0	0.2	0	
8169243	-100	0	0	0	-100	0	0.183	0	
57441890	62091548	0	0	0	787	0	0.072	0	1137
26519082	39966190	0	0	0	76	0	0.074	0	1138
10454150	16033266	0	0	0	1	0	0.05	0	1139
48167985	48223804	0	0	0	26	0	0.061	0	114
13295089	14472359	0	0	0	1	0	0.082	0	1140
44960715	44977868	0	0	0	788	0	0.101	0	1141
16032789	16063402	0	0	0	2	0	0.052	0	1142
28405921	28408195	0	0	0	1	0	0.061	0	1143
50897768	-100	0	0	0	-100	0	0.213	0	
