testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
6549791	6551806	0	0	0	88	0	0.166	0	1
23063520	51892382	0	0	0	61	0	0.073	0	10
61278669	-100	0	0	0	-100	0	0.429	0	
16376942	-100	0	0	0	-100	0	0.239	0	
38779944	43088282	0	0	0	2177	0	0.063	0	1001
33344259	-100	0	0	0	-100	0	0.226	0	
41470590	41582286	0	0	0	73	0	0.026	0	1003
4508119	52127154	0	0	0	15	0	0.007	0	1004
41077828	41105621	0	0	0	52	0	0.025	0	1008
52303316	-100	0	0	0	-100	0	0.256	0	
29308174	37685434	0	0	0	55	0	0.031	0	101
29269124	32039711	0	0	0	336	0	0.035	0	1010
33519285	-100	0	0	0	-100	0	0.271	0	
2849832	21022436	0	0	0	859	0	0.05	0	1012
31291004	-100	0	0	0	-100	0	0.222	0	
14676574	23970485	0	0	0	2	0	0.012	0	1015
4769124	-100	0	0	0	-100	0	0.236	0	
25487373	25740313	0	0	0	1	0	0.008	0	1017
4892108	7390126	0	0	0	23	0	0.028	0	1018
9243816	40179693	0	0	0	1	0	0.024	0	1019
52627048	52648687	0	0	0	1	0	0.02	0	102
36696312	-100	0	0	0	-100	0	0.25	0	
3669315	-100	0	0	0	-100	0	0.215	0	
15277480	-100	0	0	0	-100	0	0.22	0	
2429485	-100	0	0	0	-100	0	0.26	0	
6722643	34652792	0	0	0	42	0	0.03	0	1024
50381258	50401555	0	0	0	40	0	0.01	0	1025
61653399	61676227	0	0	0	2879	0	0.075	0	1026
18490942	-100	0	0	0	-100	0	0.212	0	
980149	981400	0	0	0	2913	0	0.08	0	1028
14170770	-100	0	0	0	-100	0	0.214	0	
29179035	-100	0	0	0	-100	0	0.233	0	
3541529	-100	0	0	0	-100	0	0.014	0	
31512485	33534115	0	0	0	4650	0	0.119	0	1034
3641737	-100	0	0	0	-100	0	0.235	0	
48283026	49397233	0	0	0	7214	0	0.18	0	1036
3560710	55098580	0	0	0	1	0	0.023	0	1037
48282811	48302501	0	0	0	731	0	0.031	0	1038
18666218	-100	0	0	0	-100	0	0.241	0	
14091203	14091855	0	0	0	1001	0	0.029	0	104
7912595	19535644	0	0	0	10	0	0.006	0	1040
46709752	46724902	0	0	0	1826	0	0.045	0	1041
9223153	-100	0	0	0	-100	0	0.237	0	
11126547	11149134	0	0	0	377	0	0.015	0	1043
163962	-100	0	0	0	-100	0	0.232	0	
18701798	24088373	0	0	0	2	0	0.012	0	1045
3992874	5056645	0	0	0	502	0	0.024	0	1046
5396413	-100	0	0	0	-100	0	0.228	0	
893841	21590507	0	0	0	427	0	0.018	0	1048
13954299	20232685	0	0	0	174	0	0.008	0	1049
59267797	-100	0	0	0	-100	0	0.224	0	
24688959	24706053	0	0	0	1	0	0.022	0	1050
11602136	-100	0	0	0	-100	0	0.209	0	
55955656	56408112	0	0	0	14	0	0.037	0	1052
9619774	-100	0	0	0	-100	0	0.204	0	
23377647	23389672	0	0	0	81	0	0.016	0	1054
20717180	-100	0	0	0	-100	0	0.29	0	
5345803	-100	0	0	0	-100	0	0.215	0	
51951195	-100	0	0	0	-100	0	0.212	0	
21089553	-100	0	0	0	-100	0	0.074	0	
7811656	7910666	0	0	0	127	0	0.009	0	1059
4129430	4163639	0	0	0	9	0	0.008	0	106
4571355	-100	0	0	0	-100	0	0.238	0	
308364	24765685	0	0	0	3	0	0.019	0	1061
22852717	22898881	0	0	0	1	0	0.014	0	1062
2860722	3983131	0	0	0	7	0	0.019	0	1063
29762813	-100	0	0	0	-100	0	0.208	0	
36749923	39920813	0	0	0	1	0	0.006	0	1065
20114685	52067502	0	0	0	15	0	0.021	0	1066
4764048	-100	0	0	0	-100	0	0.206	0	
24013832	-100	0	0	0	-100	0	0.207	0	
104952	-100	0	0	0	-100	0	0.224	0	
35586426	35587137	0	0	0	1	0	0.01	0	107
61869567	61873532	0	0	0	2533	0	0.08	0	1070
32551089	-100	0	0	0	-100	0	0.323	0	
40544480	40553609	0	0	0	1532	0	0.051	0	1072
2847410	2847734	0	0	0	1170	0	0.027	0	1073
2978096	2981724	0	0	0	3398	0	0.085	0	1074
49590038	-100	0	0	0	-100	0	0.222	0	
8433421	14857597	0	0	0	22	0	0.018	0	1076
56598489	-100	0	0	0	-100	0	0.217	0	
31301369	-100	0	0	0	-100	0	0.215	0	
40566994	40570886	0	0	0	33	0	0.01	0	108
30886056	30977618	0	0	0	34	0	0.017	0	1080
38487653	-100	0	0	0	-100	0	0.222	0	
7646512	26341494	0	0	0	3868	0	0.087	0	1082
14368525	-100	0	0	0	-100	0	0.217	0	
5123361	-100	0	0	0	-100	0	0.237	0	
642213	9743485	0	0	0	3	0	0.027	0	1092
7492180	-100	0	0	0	-100	0	0.224	0	
33860576	35558178	0	0	0	3	0	0.02	0	1094
1092561	-100	0	0	0	-100	0	0.213	0	
19442400	26670147	0	0	0	181	0	0.015	0	1096
35553999	-100	0	0	0	-100	0	0.228	0	
2897317	3091484	0	0	0	154	0	0.029	0	1098
35901417	35902965	0	0	0	2958	0	0.074	0	11
8071851	8081919	0	0	0	5	0	0.016	0	110
53151044	53151521	0	0	0	1	0	0.018	0	111
14738335	28955478	0	0	0	572	0	0.025	0	1119
17497801	17543093	0	0	0	139	0	0.019	0	112
25046418	25047109	0	0	0	521	0	0.025	0	1120
2506167	9526096	0	0	0	563	0	0.032	0	1121
