testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
9957429	-100	0	0	0	-100	0	1.789	0	
55034455	55044684	0	0	0	3	0	0.75	0	10
22457501	-100	0	0	0	-100	0	2.939	0	
54119578	-100	0	0	0	-100	0	0.709	0	
29542825	-100	0	0	0	-100	0	0.796	0	
34458347	-100	0	0	0	-100	0	0.67	0	
722372	13952932	0	0	0	377	0	0.386	0	1003
5949390	6001854	0	0	0	5	0	0.2	0	1004
14273471	-100	0	0	0	-100	0	0.771	0	
17483134	-100	0	0	0	-100	0	1.104	0	
1802419	-100	0	0	0	-100	0	0.664	0	
18507945	-100	0	0	0	-100	0	0.67	0	
26617623	26618362	0	0	0	1	0	0.255	0	1009
27699724	-100	0	0	0	-100	0	1.018	0	
22924043	35918908	0	0	0	85	0	0.348	0	1010
21324583	21345673	0	0	0	4475	0	0.438	0	1011
15354278	18530457	0	0	0	1	0	0.317	0	1012
27129649	27131421	0	0	0	9	0	0.163	0	1013
29540395	-100	0	0	0	-100	0	0.686	0	
19758080	-100	0	0	0	-100	0	0.718	0	
37928200	38001096	0	0	0	10	0	0.269	0	1016
18005214	43858023	0	0	0	4628	0	0.533	0	1017
8704161	-100	0	0	0	-100	0	0.586	0	
54180685	54181246	0	0	0	1	0	0.401	0	1019
8300197	-100	0	0	0	-100	0	0.733	0	
17620430	-100	0	0	0	-100	0	1.073	0	
12138439	25599268	0	0	0	164	0	0.216	0	1021
27724130	-100	0	0	0	-100	0	0.663	0	
15631635	15727515	0	0	0	1	0	0.162	0	1023
8566582	8567058	0	0	0	653	0	0.147	0	1024
6993407	-100	0	0	0	-100	0	0.677	0	
13398909	13400536	0	0	0	1	0	0.109	0	1026
6430479	-100	0	0	0	-100	0	0.57	0	
27964482	30615467	0	0	0	98	0	0.116	0	1028
10329750	10410917	0	0	0	4942	0	0.464	0	1029
37136808	-100	0	0	0	-100	0	0.704	0	
2484822	-100	0	0	0	-100	0	0.42	0	
58372791	-100	0	0	0	-100	0	0.649	0	
11444454	11711118	0	0	0	126	0	0.201	0	1032
10662397	15411951	0	0	0	767	0	0.219	0	1033
939040	-100	0	0	0	-100	0	0.536	0	
32140086	-100	0	0	0	-100	0	0.602	0	
29536161	-100	0	0	0	-100	0	0.601	0	
16571791	16580125	0	0	0	972	0	0.301	0	1037
54084055	54118344	0	0	0	1	0	0.148	0	1038
3321465	3662394	0	0	0	1	0	0.084	0	1039
50242234	-100	0	0	0	-100	0	0.602	0	
26282143	26914058	0	0	0	1	0	0.1	0	1040
1882523	15920770	0	0	0	1295	0	0.169	0	1041
7706511	-100	0	0	0	-100	0	0.58	0	
13291428	-100	0	0	0	-100	0	0.602	0	
30874782	31212870	0	0	0	2	0	0.122	0	1044
10660721	-100	0	0	0	-100	0	0.464	0	
34253615	-100	0	0	0	-100	0	0.655	0	
2085179	8563107	0	0	0	42	0	0.201	0	1047
33204614	33441644	0	0	0	1	0	0.147	0	1048
19717095	21612185	0	0	0	2961	0	0.238	0	1049
19307704	19393860	0	0	0	127	0	0.094	0	105
15575502	-100	0	0	0	-100	0	0.555	0	
3849361	36873983	0	0	0	723	0	0.185	0	1051
20620796	21284381	0	0	0	12	0	0.317	0	1052
8561678	8563164	0	0	0	3	0	0.269	0	1053
62038766	62044548	0	0	0	62	0	0.163	0	1054
1430738	-100	0	0	0	-100	0	0.439	0	
17998291	-100	0	0	0	-100	0	0.633	0	
12755248	-100	0	0	0	-100	0	0.633	0	
38125748	38126976	0	0	0	1	0	0.085	0	1058
7305785	-100	0	0	0	-100	0	0.385	0	
4627552	4628023	0	0	0	390	0	0.17	0	106
203377	1747212	0	0	0	9824	0	0.417	0	1060
3975741	-100	0	0	0	-100	0	0.532	0	
38747262	40859287	0	0	0	129	0	0.154	0	1064
41382978	-100	0	0	0	-100	0	0.755	0	
