testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
9957429	9959167	0	0	0	2	0	0.285	0	1
55034455	-100	0	0	0	-100	0	0.8	0	
22457501	-100	0	0	0	-100	0	0.475	0	
54119578	-100	0	0	0	-100	0	0.44	0	
29542825	-100	0	0	0	-100	0	0.36	0	
34458347	-100	0	0	0	-100	0	0.371	0	
722372	19219597	0	0	0	3	0	0.109	0	1003
5949390	-100	0	0	0	-100	0	0.29	0	
14273471	61188963	0	0	0	718	0	0.03	0	1005
17483134	21869330	0	0	0	721	0	0.075	0	1006
1802419	33285292	0	0	0	3	0	0.075	0	1007
18507945	40592492	0	0	0	172	0	0.04	0	1008
26617623	26618362	0	0	0	1	0	0.03	0	1009
27699724	-100	0	0	0	-100	0	0.315	0	
22924043	35918908	0	0	0	1	0	0.045	0	1010
21324583	-100	0	0	0	-100	0	0.33	0	
15354278	18530457	0	0	0	1	0	0.06	0	1012
27129649	27131421	0	0	0	11	0	0.06	0	1013
29540395	-100	0	0	0	-100	0	0.47	0	
19758080	-100	0	0	0	-100	0	0.455	0	
37928200	38001096	0	0	0	23	0	0.135	0	1016
18005214	43858023	0	0	0	16	0	0.04	0	1017
8704161	-100	0	0	0	-100	0	0.405	0	
54180685	-100	0	0	0	-100	0	0.345	0	
8300197	8300986	0	0	0	1479	0	0.11	0	102
17620430	21159776	0	0	0	4	0	0.052	0	1020
12138439	25599268	0	0	0	749	0	0.13	0	1021
27724130	36354522	0	0	0	2329	0	0.08	0	1022
15631635	15727515	0	0	0	144	0	0.08	0	1023
8566582	-100	0	0	0	-100	0	0.335	0	
6993407	16444422	0	0	0	102	0	0.025	0	1025
13398909	13400536	0	0	0	2	0	0.01	0	1026
6430479	6430835	0	0	0	1	0	0.07	0	1027
27964482	30615467	0	0	0	37	0	0.08	0	1028
10329750	-100	0	0	0	-100	0	0.29	0	
37136808	37139383	0	0	0	3068	0	0.15	0	103
2484822	18825702	0	0	0	119	0	0.02	0	1030
58372791	59431558	0	0	0	190	0	0.06	0	1031
11444454	11711118	0	0	0	853	0	0.04	0	1032
10662397	15411951	0	0	0	1	0	0.03	0	1033
939040	-100	0	0	0	-100	0	0.3	0	
32140086	-100	0	0	0	-100	0	0.285	0	
29536161	-100	0	0	0	-100	0	0.315	0	
16571791	16580125	0	0	0	8653	0	0.35	0	1037
54084055	54118344	0	0	0	1	0	0.06	0	1038
3321465	3662394	0	0	0	1	0	0.08	0	1039
50242234	50243898	0	0	0	1315	0	0.16	0	104
26282143	-100	0	0	0	-100	0	0.4	0	
1882523	-100	0	0	0	-100	0	0.41	0	
7706511	-100	0	0	0	-100	0	0.45	0	
13291428	-100	0	0	0	-100	0	0.33	0	
30874782	31212870	0	0	0	686	0	0.13	0	1044
10660721	-100	0	0	0	-100	0	0.31	0	
34253615	34265487	0	0	0	4	0	0.055	0	1046
2085179	8563107	0	0	0	535	0	0.085	0	1047
33204614	33441644	0	0	0	22	0	0.06	0	1048
19717095	21612185	0	0	0	1	0	0.04	0	1049
19307704	-100	0	0	0	-100	0	0.35	0	
15575502	-100	0	0	0	-100	0	0.345	0	
3849361	-100	0	0	0	-100	0	0.26	0	
20620796	21284381	0	0	0	559	0	0.065	0	1052
8561678	8563164	0	0	0	3102	0	0.13	0	1053
62038766	-100	0	0	0	-100	0	0.29	0	
1430738	-100	0	0	0	-100	0	0.28	0	
17998291	33512803	0	0	0	310	0	0.03	0	1056
12755248	-100	0	0	0	-100	0	0.28	0	
38125748	-100	0	0	0	-100	0	0.49	0	
7305785	-100	0	0	0	-100	0	0.405	0	
4627552	4628023	0	0	0	16	0	0.1	0	106
203377	-100	0	0	0	-100	0	0.355	0	
3975741	8828132	0	0	0	23	0	0.1	0	1061
38747262	40859287	0	0	0	1294	0	0.09	0	1064
41382978	57318131	0	0	0	81	0	0.05	0	1065
40540784	-100	0	0	0	-100	0	0.36	0	
6668652	9083379	0	0	0	659	0	0.04	0	1067
41064584	41353557	0	0	0	1506	0	0.055	0	1068
694331	694454	0	0	0	11	0	0.015	0	1069
11441575	11461457	0	0	0	35	0	0.06	0	107
2267142	-100	0	0	0	-100	0	0.29	0	
38442959	-100	0	0	0	-100	0	0.395	0	
2266697	12795172	0	0	0	7090	0	0.285	0	1072
1218071	6464219	0	0	0	1	0	0.09	0	1073
35254833	35296699	0	0	0	169	0	0.05	0	1074
16421852	-100	0	0	0	-100	0	0.39	0	
5935741	61632355	0	0	0	283	0	0.09	0	1076
36344293	58044679	0	0	0	1	0	0.035	0	1078
40014307	40037878	0	0	0	1	0	0.055	0	1079
49714338	-100	0	0	0	-100	0	0.33	0	
37917026	37967374	0	0	0	7	0	0.075	0	1080
14389921	46602255	0	0	0	48	0	0.085	0	1082
7507612	-100	0	0	0	-100	0	0.263	0	
9604760	-100	0	0	0	-100	0	0.467	0	
9080470	9082155	0	0	0	66	0	0.055	0	1085
4544083	59115084	0	0	0	1	0	0.079	0	1086
30848095	37391792	0	0	0	941	0	0.049	0	1087
8219837	-100	0	0	0	-100	0	0.337	0	
30051700	42856996	0	0	0	9	0	0.06	0	1089
9343358	-100	0	0	0	-100	0	0.41	0	
24037300	30730280	0	0	0	285	0	0.105	0	1091
27723011	27727682	0	0	0	898	0	0.065	0	1092
30575192	-100	0	0	0	-100	0	0.43	0	
10652203	46206673	0	0	0	472	0	0.07	0	1094
40045761	-100	0	0	0	-100	0	0.37	0	
58886391	58922839	0	0	0	1	0	0.02	0	1096
7017611	-100	0	0	0	-100	0	0.35	0	
3311565	3400208	0	0	0	1024	0	0.03	0	1098
8353947	8353948	0	0	0	1966	0	0.07	0	1099
32489503	-100	0	0	0	-100	0	0.35	0	
25596601	25627757	0	0	0	145	0	0.06	0	110
7505838	7536459	0	0	0	930	0	0.07	0	1100
7505812	7554342	0	0	0	89	0	0.02	0	1101
29708128	-100	0	0	0	-100	0	0.34	0	
58367755	60142556	0	0	0	1741	0	0.1	0	1104
4359879	4368792	0	0	0	83	0	0.04	0	1105
29001266	-100	0	0	0	-100	0	0.25	0	
1213862	-100	0	0	0	-100	0	0.32	0	
4883705	4884175	0	0	0	263	0	0.07	0	1108
57096251	-100	0	0	0	-100	0	0.075	0	
51376040	52335066	0	0	0	1	0	0.075	0	111
5123659	-100	0	0	0	-100	0	0.25	0	
31621644	-100	0	0	0	-100	0	0.261	0	
47350096	61603559	0	0	0	1221	0	0.059	0	1112
1531594	17047355	0	0	0	144	0	0.065	0	1113
22181991	-100	0	0	0	-100	0	0.345	0	
19562117	19632949	0	0	0	1070	0	0.08	0	1116
46601482	46611317	0	0	0	66	0	0.06	0	1117
19696649	34241912	0	0	0	3791	0	0.21	0	1118
2265303	13992508	0	0	0	46	0	0.04	0	1119
3769918	-100	0	0	0	-100	0	0.35	0	
19102288	40746869	0	0	0	4	0	0.04	0	1120
31920078	-100	0	0	0	-100	0	0.355	0	
53640255	53744486	0	0	0	439	0	0.035	0	1122
35290099	35295050	0	0	0	113	0	0.04	0	1123
44961448	60455895	0	0	0	1636	0	0.12	0	1124
15367122	-100	0	0	0	-100	0	0.28	0	
18386108	18512815	0	0	0	44	0	0.03	0	1126
16939859	28457497	0	0	0	4	0	0.02	0	1127
23755333	-100	0	0	0	-100	0	0.3	0	
6668009	-100	0	0	0	-100	0	0.29	0	
11964578	-100	0	0	0	-100	0	0.26	0	
15967894	-100	0	0	0	-100	0	0.3	0	
1368697	1372123	0	0	0	2	0	0.04	0	1131
6977575	-100	0	0	0	-100	0	0.285	0	
45234670	59000215	0	0	0	2	0	0.045	0	1133
6578495	24155299	0	0	0	98	0	0.03	0	1134
6689128	-100	0	0	0	-100	0	0.29	0	
4160143	4160396	0	0	0	29	0	0.045	0	1136
4879159	4879940	0	0	0	8443	0	0.22	0	1137
48387544	-100	0	0	0	-100	0	0.29	0	
7322154	15944504	0	0	0	129	0	0.025	0	1139
24091944	41323673	0	0	0	2231	0	0.115	0	114
15365376	22974473	0	0	0	1168	0	0.055	0	1140
16728338	35343865	0	0	0	3289	0	0.12	0	1141
23753616	23765784	0	0	0	1015	0	0.093	0	1142
10121906	-100	0	0	0	-100	0	0.286	0	
4890123	-100	0	0	0	-100	0	0.39	0	
16234256	17461791	0	0	0	219	0	0.03	0	1145
21656077	27755330	0	0	0	1	0	0.03	0	1146
12559363	13267456	0	0	0	19	0	0.0	0	1147
10936266	15888883	0	0	0	3274	0	0.164	0	1148
16936761	16937221	0	0	0	15	0	0.026	0	1149
27167130	-100	0	0	0	-100	0	0.36	0	
51015932	-100	0	0	0	-100	0	0.39	0	
46374252	-100	0	0	0	-100	0	0.33	0	
5402497	10815633	0	0	0	1	0	0.06	0	1152
14777799	14881412	0	0	0	136	0	0.04	0	1153
18201880	18202452	0	0	0	80	0	0.03	0	1154
31616609	-100	0	0	0	-100	0	0.31	0	
41578080	-100	0	0	0	-100	0	0.359	0	
14313685	-100	0	0	0	-100	0	0.351	0	
