testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
57670878	-100	0	0	0	-100	0	58.32	0	
26192111	26192821	0	0	0	1	0	0.74	0	10
34514213	34575726	0	0	0	49	0	0.899	0	100
55427497	-100	0	0	0	-100	0	17.735	0	
11386650	11401191	0	0	0	13	0	1.075	0	102
27115009	27136131	0	0	0	1	0	0.4	0	103
9287194	9288127	0	0	0	312	0	1.17	0	104
11383597	11383859	0	0	0	163	0	0.73	0	105
20819753	20838507	0	0	0	5	0	0.39	0	106
55422753	55425668	0	0	0	1796	0	1.101	0	107
2992839	2993219	0	0	0	1	0	0.539	0	108
21866382	21868956	0	0	0	1	0	0.536	0	109
42967554	-100	0	0	0	-100	0	4.725	0	
2016762	-100	0	0	0	-100	0	7.948	0	
8231952	8234356	0	0	0	1219	0	0.658	0	111
31298002	-100	0	0	0	-100	0	1.221	0	
19763516	-100	0	0	0	-100	0	1.322	0	
36539693	-100	0	0	0	-100	0	1.059	0	
27101716	27104464	0	0	0	1515	0	1.035	0	115
61703895	-100	0	0	0	-100	0	0.989	0	
25003365	-100	0	0	0	-100	0	1.406	0	
53350223	-100	0	0	0	-100	0	0.952	0	
37584497	-100	0	0	0	-100	0	1.93	0	
40870317	40893530	0	0	0	5	0	0.918	0	12
20807131	-100	0	0	0	-100	0	0.989	0	
18711100	-100	0	0	0	-100	0	1.165	0	
51212683	51222954	0	0	0	1	0	1.746	0	123
58552366	58618209	0	0	0	1850	0	1.855	0	124
30240139	30242438	0	0	0	993	0	0.37	0	125
31910823	31921095	0	0	0	1	0	1.092	0	1255
6101568	-100	0	0	0	-100	0	1.321	0	
50785022	-100	0	0	0	-100	0	0.635	0	
6744723	-100	0	0	0	-100	0	0.555	0	
18278769	18282409	0	0	0	1	0	0.216	0	1259
16608081	16609113	0	0	0	1	0	0.232	0	126
9168602	-100	0	0	0	-100	0	0.617	0	
13370431	-100	0	0	0	-100	0	0.602	0	
59569589	59571742	0	0	0	7928	0	0.74	0	1262
8839541	-100	0	0	0	-100	0	0.579	0	
39248083	39327969	0	0	0	1	0	0.285	0	1264
8876138	30859295	0	0	0	288	0	0.337	0	1265
16438084	-100	0	0	0	-100	0	0.851	0	
910476	10126256	0	0	0	51	0	0.116	0	1267
29807879	35327027	0	0	0	4	0	0.1	0	1268
44487685	-100	0	0	0	-100	0	0.803	0	
33384989	33385938	0	0	0	837	0	0.156	0	127
1495308	19895304	0	0	0	625	0	0.268	0	1270
24563783	-100	0	0	0	-100	0	0.583	0	
33999177	34000755	0	0	0	73	0	0.633	0	1272
40292185	-100	0	0	0	-100	0	1.173	0	
8834667	-100	0	0	0	-100	0	0.839	0	
1883048	-100	0	0	0	-100	0	0.95	0	
38535355	49171585	0	0	0	46	0	0.301	0	1276
21416108	30109459	0	0	0	7	0	0.47	0	1277
2484064	9880805	0	0	0	3059	0	0.532	0	1278
35046238	-100	0	0	0	-100	0	2.337	0	
33384755	-100	0	0	0	-100	0	1.804	0	
5685803	-100	0	0	0	-100	0	1.658	0	
9877993	-100	0	0	0	-100	0	0.95	0	
22459719	22585212	0	0	0	6	0	0.223	0	1282
33993942	33994273	0	0	0	17	0	0.279	0	1283
29798828	29818019	0	0	0	1	0	0.585	0	1284
42474596	-100	0	0	0	-100	0	1.118	0	
26650992	26711140	0	0	0	1	0	1.194	0	1287
5145521	9379768	0	0	0	9	0	0.069	0	1288
20801833	-100	0	0	0	-100	0	0.886	0	
30845148	-100	0	0	0	-100	0	1.018	0	
15116158	15316933	0	0	0	1	0	0.233	0	1291
5678741	47722200	0	0	0	3	0	0.2	0	1292
14066898	-100	0	0	0	-100	0	0.933	0	
33989669	34006885	0	0	0	4	0	0.285	0	1294
49068119	-100	0	0	0	-100	0	0.686	0	
16163365	-100	0	0	0	-100	0	0.887	0	
36086193	45794079	0	0	0	5430	0	1.105	0	1297
14065908	14086650	0	0	0	1	0	0.473	0	1298
472626	1741041	0	0	0	6554	0	1.088	0	1299
38771664	-100	0	0	0	-100	0	1.289	0	
12412353	-100	0	0	0	-100	0	0.871	0	
42376787	-100	0	0	0	-100	0	1.037	0	
16890206	31891025	0	0	0	79	0	0.22	0	1301
52862349	57434659	0	0	0	1548	0	0.3	0	1302
9926356	9930624	0	0	0	502	0	0.244	0	1303
8842237	28993398	0	0	0	25	0	0.386	0	1304
16145682	-100	0	0	0	-100	0	1.019	0	
27118479	27160339	0	0	0	1	0	0.18	0	1306
7976967	-100	0	0	0	-100	0	0.765	0	
14751964	32458679	0	0	0	6235	0	0.455	0	1308
33985286	33986324	0	0	0	105	0	0.278	0	1309
28140311	28141376	0	0	0	1	0	0.702	0	131
10916159	10985576	0	0	0	1	0	0.27	0	1310
61247661	61270215	0	0	0	5178	0	1.156	0	1311
26810375	26812096	0	0	0	35	0	0.795	0	1312
47614003	47614152	0	0	0	924	0	0.47	0	1313
26642617	-100	0	0	0	-100	0	3.069	0	
41322457	41323554	0	0	0	1	0	1.607	0	1315
29786921	-100	0	0	0	-100	0	1.403	0	
12182592	12210245	0	0	0	229	0	0.395	0	1317
24835051	-100	0	0	0	-100	0	1.04	0	
8814455	8824004	0	0	0	1	0	1.05	0	1319
59597354	59597453	0	0	0	1	0	0.2	0	132
29588168	44906619	0	0	0	1253	0	0.339	0	1320
16423571	-100	0	0	0	-100	0	1.049	0	
23922134	-100	0	0	0	-100	0	0.834	0	
21409397	21410808	0	0	0	109	0	0.371	0	1325
3391256	-100	0	0	0	-100	0	0.7	0	
1611822	1611862	0	0	0	916	0	0.201	0	1327
38142578	-100	0	0	0	-100	0	0.655	0	
55998266	-100	0	0	0	-100	0	0.501	0	
9432460	-100	0	0	0	-100	0	0.751	0	
11958036	-100	0	0	0	-100	0	0.618	0	
11957981	-100	0	0	0	-100	0	0.587	0	
58125830	59143792	0	0	0	71	0	0.169	0	1332
837703	27908790	0	0	0	2753	0	0.448	0	1333
10908270	10908696	0	0	0	2	0	0.169	0	1334
50854359	-100	0	0	0	-100	0	0.753	0	
6714024	6716582	0	0	0	37	0	0.239	0	1336
14053063	29564627	0	0	0	682	0	0.162	0	1337
4837723	-100	0	0	0	-100	0	0.655	0	
8025728	8107118	0	0	0	1	0	0.216	0	1339
36526527	36526872	0	0	0	1	0	0.047	0	134
45856153	45858042	0	0	0	2810	0	0.385	0	1342
