testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
57670878	58713801	0	0	0	152	0	0.724	0	1
26192111	-100	0	0	0	-100	0	0.624	0	
34514213	34575726	0	0	0	36	0	0.339	0	100
55427497	55428131	0	0	0	1584	0	6.398	0	101
11386650	-100	0	0	0	-100	0	4.063	0	
27115009	27136131	0	0	0	1	0	0.154	0	103
9287194	9288127	0	0	0	25	0	0.169	0	104
11383597	11383859	0	0	0	17	0	0.131	0	105
20819753	20838507	0	0	0	1682	0	0.702	0	106
55422753	-100	0	0	0	-100	0	0.154	0	
2992839	-100	0	0	0	-100	0	0.782	0	
21866382	21868956	0	0	0	1	0	0.154	0	109
42967554	42981783	0	0	0	3	0	0.302	0	11
2016762	6136435	0	0	0	24	0	0.229	0	110
8231952	8234356	0	0	0	9809	0	0.63	0	111
31298002	-100	0	0	0	-100	0	0.614	0	
19763516	19764245	0	0	0	6	0	0.216	0	113
36539693	36691419	0	0	0	86	0	0.185	0	114
27101716	-100	0	0	0	-100	0	0.539	0	
61703895	61764022	0	0	0	139	0	0.184	0	116
25003365	25020393	0	0	0	1	0	0.239	0	117
53350223	56459099	0	0	0	1	0	0.147	0	118
37584497	37589793	0	0	0	8	0	0.116	0	119
40870317	40893530	0	0	0	7455	0	0.338	0	12
20807131	29250506	0	0	0	81	0	0.147	0	120
18711100	19895374	0	0	0	61	0	0.085	0	122
51212683	51222954	0	0	0	1	0	0.116	0	123
58552366	-100	0	0	0	-100	0	0.216	0	
30240139	30242438	0	0	0	6382	0	0.185	0	125
31910823	31921095	0	0	0	1	0	0.1	0	1255
6101568	40466553	0	0	0	4659	0	0.148	0	1256
50785022	50827926	0	0	0	6950	0	0.207	0	1257
6744723	32319161	0	0	0	2262	0	0.131	0	1258
18278769	18282409	0	0	0	3	0	0.132	0	1259
16608081	-100	0	0	0	-100	0	0.216	0	
9168602	9826512	0	0	0	1	0	0.1	0	1260
13370431	17726452	0	0	0	80	0	0.085	0	1261
59569589	-100	0	0	0	-100	0	0.232	0	
8839541	-100	0	0	0	-100	0	0.138	0	
39248083	39327969	0	0	0	7999	0	0.216	0	1264
8876138	-100	0	0	0	-100	0	0.216	0	
16438084	17359566	0	0	0	119	0	0.116	0	1266
910476	10126256	0	0	0	13	0	0.084	0	1267
29807879	35327027	0	0	0	10	0	0.116	0	1268
44487685	44501681	0	0	0	2179	0	0.123	0	1269
33384989	33385938	0	0	0	5813	0	0.178	0	127
1495308	19895304	0	0	0	804	0	0.116	0	1270
24563783	24575308	0	0	0	595	0	0.107	0	1271
33999177	34000755	0	0	0	72	0	0.062	0	1272
40292185	60317919	0	0	0	852	0	0.138	0	1273
8834667	8896237	0	0	0	806	0	0.094	0	1274
1883048	10931702	0	0	0	1	0	0.085	0	1275
38535355	-100	0	0	0	-100	0	0.238	0	
21416108	30109459	0	0	0	391	0	0.101	0	1277
2484064	9880805	0	0	0	48	0	0.084	0	1278
35046238	61264151	0	0	0	3889	0	0.147	0	1279
33384755	33393040	0	0	0	43	0	0.132	0	128
5685803	5686519	0	0	0	1184	0	0.116	0	1280
9877993	13348811	0	0	0	3229	0	0.138	0	1281
22459719	22585212	0	0	0	2004	0	0.069	0	1282
33993942	33994273	0	0	0	186	0	0.131	0	1283
29798828	-100	0	0	0	-100	0	0.201	0	
42474596	-100	0	0	0	-100	0	0.263	0	
26650992	-100	0	0	0	-100	0	0.207	0	
5145521	-100	0	0	0	-100	0	0.216	0	
20801833	20806671	0	0	0	376	0	0.116	0	129
30845148	31430826	0	0	0	2106	0	0.132	0	1290
15116158	15316933	0	0	0	7	0	0.11	0	1291
5678741	47722200	0	0	0	116	0	0.09	0	1292
14066898	14152147	0	0	0	5312	0	0.15	0	1293
33989669	34006885	0	0	0	1	0	0.095	0	1294
49068119	59841361	0	0	0	5	0	0.185	0	1295
16163365	16164132	0	0	0	3394	0	0.169	0	1296
36086193	45794079	0	0	0	34	0	0.101	0	1297
14065908	14086650	0	0	0	1	0	0.131	0	1298
472626	1741041	0	0	0	1791	0	0.116	0	1299
38771664	38772773	0	0	0	15	0	0.101	0	13
12412353	-100	0	0	0	-100	0	0.269	0	
