testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
15724417	-100	0	0	0	-100	0	1.925	0	
60797469	60801109	0	0	0	646	0	0.486	0	10
6210633	-100	0	0	0	-100	0	1.088	0	
5539410	5539990	0	0	0	1	0	0.52	0	1000
18709297	-100	0	0	0	-100	0	0.649	0	
173046	-100	0	0	0	-100	0	0.942	0	
17998446	18046191	0	0	0	8381	0	0.971	0	1003
6971927	6988272	0	0	0	9606	0	0.872	0	1004
1688941	39129563	0	0	0	338	0	0.269	0	1005
46308796	46309513	0	0	0	121	0	0.652	0	1006
11486630	-100	0	0	0	-100	0	0.623	0	
33855585	-100	0	0	0	-100	0	0.698	0	
29532147	-100	0	0	0	-100	0	0.786	0	
39239540	39242795	0	0	0	4416	0	0.553	0	101
4137297	44311104	0	0	0	8859	0	0.37	0	1010
32796640	-100	0	0	0	-100	0	0.969	0	
41912347	41934488	0	0	0	7	0	0.42	0	1013
7511279	-100	0	0	0	-100	0	0.577	0	
22243712	-100	0	0	0	-100	0	0.48	0	
8074152	-100	0	0	0	-100	0	0.723	0	
42474908	50127438	0	0	0	14	0	0.27	0	1017
19569298	36484797	0	0	0	1933	0	0.142	0	1018
2481614	-100	0	0	0	-100	0	0.448	0	
49725020	-100	0	0	0	-100	0	1.117	0	
8880571	12229079	0	0	0	662	0	0.139	0	1020
26679685	-100	0	0	0	-100	0	0.586	0	
50091127	-100	0	0	0	-100	0	0.733	0	
29825396	29854235	0	0	0	1	0	0.561	0	1025
14499320	21104810	0	0	0	76	0	0.285	0	1026
4004313	4004400	0	0	0	378	0	0.185	0	1027
26908490	26908705	0	0	0	6	0	0.178	0	1028
57962123	-100	0	0	0	-100	0	0.724	0	
32423373	-100	0	0	0	-100	0	0.534	0	
30542657	-100	0	0	0	-100	0	0.45	0	
11179528	-100	0	0	0	-100	0	0.783	0	
15896158	-100	0	0	0	-100	0	0.566	0	
39481759	-100	0	0	0	-100	0	0.655	0	
39105390	39509504	0	0	0	2276	0	0.52	0	1034
14358599	-100	0	0	0	-100	0	0.517	0	
45257033	45283826	0	0	0	107	0	0.267	0	1036
20940860	23962845	0	0	0	91	0	0.157	0	1037
59583876	59617795	0	0	0	3882	0	0.344	0	1038
27693247	27714618	0	0	0	3	0	0.207	0	1039
7781404	7864012	0	0	0	3708	0	0.333	0	104
12374815	-100	0	0	0	-100	0	0.682	0	
14845972	14847498	0	0	0	1	0	0.172	0	1041
44504923	-100	0	0	0	-100	0	0.543	0	
49405587	49449654	0	0	0	1947	0	0.316	0	1043
22186666	22218663	0	0	0	1	0	0.135	0	1044
8030884	-100	0	0	0	-100	0	0.585	0	
58886813	60180685	0	0	0	11	0	0.132	0	1046
37914999	37924090	0	0	0	1	0	0.154	0	1047
8328908	-100	0	0	0	-100	0	0.517	0	
31227751	-100	0	0	0	-100	0	0.478	0	
16693793	-100	0	0	0	-100	0	0.637	0	
39028875	39487340	0	0	0	1428	0	0.39	0	1050
32146990	32152895	0	0	0	1	0	0.184	0	1051
12219587	12224000	0	0	0	558	0	0.433	0	1052
36865516	36869725	0	0	0	1	0	0.138	0	1053
