testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
15724417	15726889	0	0	0	30	0	0.38	0	1
60797469	60801109	0	0	0	3971	0	0.665	0	10
6210633	-100	0	0	0	-100	0	0.396	0	
5539410	5539990	0	0	0	15	0	0.169	0	1000
18709297	30081785	0	0	0	8682	0	0.415	0	1001
173046	14095880	0	0	0	650	0	0.233	0	1002
17998446	18046191	0	0	0	1	0	0.192	0	1003
6971927	-100	0	0	0	-100	0	0.29	0	
1688941	39129563	0	0	0	98	0	0.14	0	1005
46308796	46309513	0	0	0	59	0	0.13	0	1006
11486630	-100	0	0	0	-100	0	0.33	0	
33855585	33856949	0	0	0	1	0	0.11	0	1008
29532147	-100	0	0	0	-100	0	0.26	0	
39239540	39242795	0	0	0	2597	0	0.16	0	101
4137297	44311104	0	0	0	32	0	0.07	0	1010
32796640	32806786	0	0	0	2801	0	0.16	0	1011
41912347	41932170	0	0	0	270	0	0.09	0	1013
7511279	-100	0	0	0	-100	0	0.22	0	
22243712	-100	0	0	0	-100	0	0.17	0	
8074152	13590999	0	0	0	979	0	0.14	0	1016
42474908	50127438	0	0	0	755	0	0.11	0	1017
19569298	36484797	0	0	0	1	0	0.105	0	1018
2481614	18745406	0	0	0	26	0	0.12	0	1019
49725020	49726180	0	0	0	9	0	0.09	0	102
8880571	-100	0	0	0	-100	0	0.215	0	
26679685	-100	0	0	0	-100	0	0.24	0	
50091127	50092149	0	0	0	181	0	0.1	0	1024
29825396	29854235	0	0	0	12	0	0.1	0	1025
14499320	21104810	0	0	0	20	0	0.09	0	1026
4004313	4004400	0	0	0	1	0	0.11	0	1027
26908490	26908705	0	0	0	1	0	0.1	0	1028
57962123	57999206	0	0	0	1	0	0.09	0	1029
32423373	32426015	0	0	0	1	0	0.09	0	103
30542657	-100	0	0	0	-100	0	0.25	0	
11179528	15126423	0	0	0	8666	0	0.23	0	1031
15896158	-100	0	0	0	-100	0	0.22	0	
39481759	39490557	0	0	0	21	0	0.1	0	1033
39105390	39509504	0	0	0	3238	0	0.14	0	1034
14358599	-100	0	0	0	-100	0	0.3	0	
