testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
28308632	28310753	0	0	0	1	0	0.366	0	1
22512025	22513000	0	0	0	1	0	0.272	0	10
14573553	28781276	0	0	0	1953	0	0.332	0	100
32686497	37673634	0	0	0	1	0	0.085	0	1000
25075616	30910162	0	0	0	1114	0	0.247	0	1001
13101211	-100	0	0	0	-100	0	0.756	0	
5463029	-100	0	0	0	-100	0	0.689	0	
2756978	-100	0	0	0	-100	0	0.602	0	
24478879	-100	0	0	0	-100	0	0.501	0	
8638352	-100	0	0	0	-100	0	0.753	0	
1860490	34482028	0	0	0	735	0	0.201	0	1007
46745365	60716326	0	0	0	34	0	0.116	0	1008
6263105	14751994	0	0	0	1	0	0.069	0	1009
52366455	55467742	0	0	0	9	0	0.047	0	101
16849023	-100	0	0	0	-100	0	0.686	0	
37093480	-100	0	0	0	-100	0	0.539	0	
6726219	-100	0	0	0	-100	0	0.508	0	
9889403	-100	0	0	0	-100	0	0.622	0	
22778202	32052772	0	0	0	876	0	0.2	0	1015
2693428	2759548	0	0	0	4855	0	0.348	0	1017
18187165	-100	0	0	0	-100	0	0.47	0	
40965522	52575108	0	0	0	1	0	0.185	0	1019
2513859	-100	0	0	0	-100	0	0.464	0	
9917631	-100	0	0	0	-100	0	0.517	0	
2692481	-100	0	0	0	-100	0	0.485	0	
273970	8325784	0	0	0	7787	0	0.518	0	1022
26285311	34901910	0	0	0	358	0	0.2	0	1023
7395977	7410739	0	0	0	1	0	0.093	0	1024
4824503	12018747	0	0	0	4366	0	0.308	0	1025
55120791	55148861	0	0	0	130	0	0.238	0	1026
1118994	25808390	0	0	0	655	0	0.452	0	1027
48828671	51829609	0	0	0	3	0	0.304	0	1028
43061074	44235172	0	0	0	1	0	0.236	0	1029
7756593	-100	0	0	0	-100	0	0.47	0	
50925212	-100	0	0	0	-100	0	0.555	0	
