testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
28308632	28310753	0	0	0	148	0	0.202	0	1
22512025	22513000	0	0	0	433	0	0.242	0	10
14573553	-100	0	0	0	-100	0	0.311	0	
32686497	37673634	0	0	0	2710	0	0.132	0	1000
25075616	30910162	0	0	0	2196	0	0.084	0	1001
13101211	21044229	0	0	0	79	0	0.085	0	1002
5463029	14752715	0	0	0	236	0	0.138	0	1003
2756978	5315524	0	0	0	1	0	0.171	0	1004
24478879	24499295	0	0	0	33	0	0.126	0	1005
8638352	8648559	0	0	0	5319	0	0.163	0	1006
1860490	-100	0	0	0	-100	0	0.154	0	
46745365	-100	0	0	0	-100	0	0.169	0	
6263105	14751994	0	0	0	6704	0	0.132	0	1009
52366455	55467742	0	0	0	5721	0	0.115	0	101
16849023	41013889	0	0	0	2954	0	0.101	0	1010
37093480	40441937	0	0	0	1120	0	0.1	0	1011
6726219	-100	0	0	0	-100	0	0.1	0	
9889403	38868833	0	0	0	461	0	0.069	0	1014
22778202	32052772	0	0	0	664	0	0.085	0	1015
2693428	2759548	0	0	0	48	0	0.047	0	1017
18187165	18200251	0	0	0	3	0	0.053	0	1018
40965522	52575108	0	0	0	1952	0	0.116	0	1019
2513859	58703110	0	0	0	7607	0	0.132	0	102
9917631	9932281	0	0	0	123	0	0.069	0	1020
2692481	-100	0	0	0	-100	0	0.1	0	
273970	8325784	0	0	0	1257	0	0.062	0	1022
26285311	34901910	0	0	0	76	0	0.069	0	1023
7395977	7410739	0	0	0	155	0	0.064	0	1024
4824503	12018747	0	0	0	1781	0	0.08	0	1025
55120791	-100	0	0	0	-100	0	0.171	0	
1118994	-100	0	0	0	-100	0	0.11	0	
48828671	51829609	0	0	0	1027	0	0.081	0	1028
43061074	44235172	0	0	0	1435	0	0.08	0	1029
7756593	7760320	0	0	0	34	0	0.05	0	103
