testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
28308632	28310753	0	0	0	3	0	0.487	0	1
22512025	22513000	0	0	0	43	0	0.208	0	10
14573553	-100	0	0	0	-100	0	1.587	0	
32686497	37673634	0	0	0	216	0	1.156	0	1000
25075616	30910162	0	0	0	180	0	0.448	0	1001
13101211	21044229	0	0	0	5097	0	14.422	0	1002
5463029	-100	0	0	0	-100	0	20.233	0	
2756978	5315524	0	0	0	425	0	0.649	0	1004
24478879	24499295	0	0	0	426	0	0.386	0	1005
8638352	-100	0	0	0	-100	0	7.516	0	
1860490	-100	0	0	0	-100	0	2.826	0	
46745365	60716326	0	0	0	297	0	0.331	0	1008
6263105	-100	0	0	0	-100	0	1.43	0	
52366455	55467742	0	0	0	318	0	1.752	0	101
16849023	41013889	0	0	0	455	0	0.116	0	1010
37093480	40441937	0	0	0	1074	0	0.533	0	1011
6726219	-100	0	0	0	-100	0	0.322	0	
9889403	38868833	0	0	0	2052	0	0.285	0	1014
22778202	32052772	0	0	0	4913	0	0.179	0	1015
2693428	2759548	0	0	0	1	0	0.037	0	1017
18187165	18200251	0	0	0	40	0	0.079	0	1018
40965522	52575108	0	0	0	1	0	0.037	0	1019
2513859	-100	0	0	0	-100	0	0.301	0	
9917631	-100	0	0	0	-100	0	0.548	0	
2692481	17455043	0	0	0	5	0	0.101	0	1021
273970	8325784	0	0	0	1	0	0.138	0	1022
26285311	34901910	0	0	0	5055	0	0.232	0	1023
7395977	7410739	0	0	0	1216	0	0.203	0	1024
4824503	12018747	0	0	0	2	0	0.393	0	1025
55120791	-100	0	0	0	-100	0	0.43	0	
1118994	-100	0	0	0	-100	0	0.659	0	
48828671	51829609	0	0	0	398	0	0.718	0	1028
43061074	44235172	0	0	0	64	0	0.169	0	1029
7756593	-100	0	0	0	-100	0	0.332	0	
50925212	-100	0	0	0	-100	0	0.254	0	
6884846	8369807	0	0	0	14	0	0.085	0	1031
44109242	44258214	0	0	0	1	0	0.062	0	1032
19681854	-100	0	0	0	-100	0	0.286	0	
25124761	26443242	0	0	0	7656	0	0.263	0	1034
26493762	29402642	0	0	0	3207	0	0.138	0	1035
2793797	-100	0	0	0	-100	0	0.289	0	
32049115	32065072	0	0	0	6	0	0.0	0	1037
