testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
21493849	21494154	0	0	0	9	0	0.266	0	1
38779705	38779970	0	0	0	1238	0	0.278	0	10
60208196	60224032	0	0	0	4927	0	0.163	0	100
36902602	-100	0	0	0	-100	0	0.346	0	
29165601	47388258	0	0	0	179	0	0.096	0	1001
8590928	8591567	0	0	0	7	0	0.11	0	1002
24319477	-100	0	0	0	-100	0	0.208	0	
28307401	39801326	0	0	0	11	0	0.121	0	1004
23277066	51903942	0	0	0	14	0	0.068	0	1005
29306337	29319103	0	0	0	1	0	0.085	0	1006
31134274	32801530	0	0	0	159	0	0.197	0	1007
4939067	49928262	0	0	0	1	0	0.075	0	1008
45289891	46613117	0	0	0	4700	0	0.218	0	1009
56013105	-100	0	0	0	-100	0	0.29	0	
19907140	53434558	0	0	0	9735	0	0.189	0	1012
39561560	51140950	0	0	0	1331	0	0.084	0	1013
6569896	7838606	0	0	0	343	0	0.066	0	1014
33965370	38998060	0	0	0	62	0	0.074	0	1015
13030402	-100	0	0	0	-100	0	0.172	0	
43491673	44685241	0	0	0	1586	0	0.099	0	1017
15928750	-100	0	0	0	-100	0	0.19	0	
34802936	-100	0	0	0	-100	0	0.23	0	
22457880	22458039	0	0	0	64	0	0.078	0	102
33754348	33829408	0	0	0	787	0	0.076	0	1020
32705698	-100	0	0	0	-100	0	0.179	0	
50304516	50531131	0	0	0	413	0	0.066	0	1022
4918067	8084389	0	0	0	90	0	0.065	0	1023
58919468	59530061	0	0	0	5760	0	0.144	0	1024
25970315	35850608	0	0	0	88	0	0.076	0	1025
36055900	36374750	0	0	0	4	0	0.092	0	1026
27461677	-100	0	0	0	-100	0	0.13	0	
55248832	61817226	0	0	0	237	0	0.075	0	1028
27995110	-100	0	0	0	-100	0	0.187	0	
48672124	48676862	0	0	0	608	0	0.12	0	103
8587060	8627730	0	0	0	5	0	0.062	0	1030
52102706	52199843	0	0	0	986	0	0.075	0	1031
22205845	-100	0	0	0	-100	0	0.206	0	
33506991	33527600	0	0	0	1	0	0.114	0	1033
12780668	12781994	0	0	0	68	0	0.064	0	1034
18114820	19596300	0	0	0	45	0	0.062	0	1035
61014943	-100	0	0	0	-100	0	0.158	0	
3343221	-100	0	0	0	-100	0	0.191	0	
14594786	47383320	0	0	0	9736	0	0.181	0	1038
29177656	54016264	0	0	0	9382	0	0.273	0	1039
50768864	53050961	0	0	0	119	0	0.073	0	104
35687678	-100	0	0	0	-100	0	0.195	0	
22841719	22842768	0	0	0	1239	0	0.061	0	1041
28190383	-100	0	0	0	-100	0	0.175	0	
8060609	9830729	0	0	0	500	0	0.06	0	1043
25886116	46555820	0	0	0	5	0	0.066	0	1044
40041498	40046330	0	0	0	77	0	0.107	0	1045
27219479	-100	0	0	0	-100	0	0.181	0	
36895533	-100	0	0	0	-100	0	0.228	0	
60150887	-100	0	0	0	-100	0	0.194	0	
9755766	9763459	0	0	0	414	0	0.065	0	1049
8327307	8374088	0	0	0	1	0	0.061	0	105
42736616	50189331	0	0	0	2862	0	0.108	0	1050
30342243	30614560	0	0	0	670	0	0.129	0	1051
21343713	21353438	0	0	0	3149	0	0.103	0	1052
33748554	33755092	0	0	0	1	0	0.068	0	1053
2291176	-100	0	0	0	-100	0	0.186	0	
47903890	-100	0	0	0	-100	0	0.221	0	
49091718	-100	0	0	0	-100	0	0.178	0	
14873043	14875763	0	0	0	1	0	0.06	0	1057
7144313	20115693	0	0	0	5	0	0.061	0	1058
32255001	-100	0	0	0	-100	0	0.176	0	
35564347	35572079	0	0	0	189	0	0.064	0	106
37666731	-100	0	0	0	-100	0	0.212	0	
56815469	56855499	0	0	0	1	0	0.085	0	1061
7545865	7546825	0	0	0	1	0	0.069	0	1062
3955790	18296488	0	0	0	4270	0	0.147	0	1064
10046808	57863668	0	0	0	604	0	0.069	0	1065
3861840	-100	0	0	0	-100	0	0.185	0	
