testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
21493849	21494154	0	0	0	1037	0	0.376	0	1
38779705	38779970	0	0	0	1	0	0.058	0	10
60208196	60224032	0	0	0	4646	0	0.296	0	100
36902602	36923346	0	0	0	1	0	0.048	0	1000
29165601	-100	0	0	0	-100	0	0.394	0	
8590928	-100	0	0	0	-100	0	0.341	0	
24319477	24507836	0	0	0	1	0	0.031	0	1003
28307401	39801326	0	0	0	1	0	0.01	0	1004
23277066	51903942	0	0	0	1	0	0.035	0	1005
29306337	29319103	0	0	0	115	0	0.082	0	1006
31134274	32801530	0	0	0	1	0	0.052	0	1007
4939067	-100	0	0	0	-100	0	0.309	0	
45289891	46613117	0	0	0	22	0	0.059	0	1009
56013105	56023918	0	0	0	800	0	0.046	0	101
19907140	-100	0	0	0	-100	0	0.244	0	
39561560	51140950	0	0	0	6446	0	0.188	0	1013
6569896	7838606	0	0	0	464	0	0.016	0	1014
33965370	-100	0	0	0	-100	0	0.24	0	
13030402	21189954	0	0	0	2966	0	0.088	0	1016
43491673	44685241	0	0	0	1	0	0.023	0	1017
15928750	15953337	0	0	0	7612	0	0.2	0	1018
34802936	54443129	0	0	0	6	0	0.009	0	1019
22457880	22458039	0	0	0	2203	0	0.079	0	102
33754348	33829408	0	0	0	1	0	0.058	0	1020
32705698	-100	0	0	0	-100	0	0.247	0	
50304516	-100	0	0	0	-100	0	0.247	0	
4918067	8084389	0	0	0	968	0	0.04	0	1023
58919468	59531532	0	0	0	205	0	0.012	0	1024
25970315	35850608	0	0	0	6072	0	0.195	0	1025
36055900	36374750	0	0	0	3	0	0.052	0	1026
27461677	-100	0	0	0	-100	0	0.251	0	
55248832	61817226	0	0	0	227	0	0.073	0	1028
27995110	51279973	0	0	0	101	0	0.018	0	1029
48672124	48676862	0	0	0	72	0	0.028	0	103
8587060	8627730	0	0	0	383	0	0.026	0	1030
52102706	52199843	0	0	0	17	0	0.047	0	1031
22205845	22218202	0	0	0	1	0	0.033	0	1032
33506991	33527600	0	0	0	1	0	0.019	0	1033
12780668	12781994	0	0	0	24	0	0.017	0	1034
18114820	-100	0	0	0	-100	0	0.247	0	
61014943	-100	0	0	0	-100	0	0.276	0	
3343221	8291274	0	0	0	4690	0	0.135	0	1037
14594786	47383320	0	0	0	2	0	0.005	0	1038
29177656	-100	0	0	0	-100	0	0.263	0	
50768864	53050961	0	0	0	1	0	0.033	0	104
35687678	-100	0	0	0	-100	0	0.241	0	
22841719	22842768	0	0	0	3	0	0.041	0	1041
28190383	41701246	0	0	0	4166	0	0.122	0	1042
8060609	9830729	0	0	0	343	0	0.041	0	1043
25886116	46555820	0	0	0	8	0	0.01	0	1044
