testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
57657901	-100	0	0	0	-100	0	0.556	0	
50569314	50584209	0	0	0	1	0	0.093	0	10
26145967	26159529	0	0	0	1	0	0.03	0	100
58314023	59791480	0	0	0	85	0	0.065	0	1000
14975638	15489065	0	0	0	22	0	0.031	0	1001
45206230	-100	0	0	0	-100	0	0.138	0	
46684038	46770761	0	0	0	2	0	0.031	0	1003
3903157	-100	0	0	0	-100	0	0.085	0	
2589275	40089885	0	0	0	3733	0	0.069	0	1005
36065232	36699272	0	0	0	4	0	0.031	0	1006
16475081	16559250	0	0	0	222	0	0.016	0	1007
15853204	45372987	0	0	0	14	0	0.047	0	1008
9862519	-100	0	0	0	-100	0	0.084	0	
38658033	38916875	0	0	0	378	0	0.054	0	101
43275478	43293369	0	0	0	372	0	0.015	0	1010
11950703	13984470	0	0	0	2877	0	0.069	0	1016
14041601	17061016	0	0	0	226	0	0.032	0	1017
48912908	48913362	0	0	0	1	0	0.031	0	1018
2564258	-100	0	0	0	-100	0	0.2	0	
36368712	58859811	0	0	0	5	0	0.022	0	102
2231993	-100	0	0	0	-100	0	0.078	0	
56366734	56382379	0	0	0	3324	0	0.054	0	1021
45201654	-100	0	0	0	-100	0	0.069	0	
14268814	-100	0	0	0	-100	0	0.116	0	
26497751	38052325	0	0	0	1346	0	0.046	0	1025
28306604	28332566	0	0	0	1	0	0.023	0	1026
57430411	57465187	0	0	0	1	0	0.015	0	1028
8499378	-100	0	0	0	-100	0	0.116	0	
28543538	29728795	0	0	0	43	0	0.047	0	103
42449257	43536583	0	0	0	348	0	0.053	0	1030
23875757	-100	0	0	0	-100	0	0.192	0	
52187189	52275015	0	0	0	173	0	0.061	0	1032
53235655	53239765	0	0	0	3	0	0.06	0	1033
14964457	14968103	0	0	0	44	0	0.041	0	1034
47730589	-100	0	0	0	-100	0	0.181	0	
49041280	49074570	0	0	0	7	0	0.02	0	1036
27545423	-100	0	0	0	-100	0	0.161	0	
17178831	36373630	0	0	0	2555	0	0.051	0	1038
15486551	-100	0	0	0	-100	0	0.098	0	
18018097	18083363	0	0	0	1	0	0.022	0	104
33574457	33609538	0	0	0	12	0	0.02	0	1042
52650467	-100	0	0	0	-100	0	0.069	0	
1567718	25621108	0	0	0	5805	0	0.072	0	1044
57356463	57571196	0	0	0	1961	0	0.038	0	1045
26896087	47637321	0	0	0	1654	0	0.047	0	1046
24881923	38101558	0	0	0	924	0	0.047	0	1047
40652012	43551312	0	0	0	34	0	0.038	0	1048
38036680	48211887	0	0	0	393	0	0.031	0	1049
59960252	59978973	0	0	0	3313	0	0.053	0	105
8260808	-100	0	0	0	-100	0	0.063	0	
21729415	51158486	0	0	0	1	0	0.038	0	1051
9171036	-100	0	0	0	-100	0	0.084	0	
7326865	-100	0	0	0	-100	0	0.063	0	
3082716	-100	0	0	0	-100	0	0.084	0	
51923603	51996021	0	0	0	1	0	0.031	0	1056
41699952	41739418	0	0	0	8	0	0.023	0	1057
33419325	-100	0	0	0	-100	0	0.093	0	
57024793	58739159	0	0	0	1	0	0.047	0	1059
45279880	45556677	0	0	0	211	0	0.022	0	106
13912387	-100	0	0	0	-100	0	0.091	0	
28159936	28162445	0	0	0	10	0	0.02	0	1062
43189512	44551816	0	0	0	27	0	0.02	0	1063
14366406	-100	0	0	0	-100	0	0.061	0	
5027480	-100	0	0	0	-100	0	0.121	0	
10004847	11028353	0	0	0	2	0	0.03	0	1067
12417454	16798605	0	0	0	1	0	0.02	0	1068
31178704	31213349	0	0	0	1886	0	0.048	0	1069
51569831	51581399	0	0	0	203	0	0.023	0	107
9220849	20849641	0	0	0	1	0	0.018	0	1070
8854046	15285089	0	0	0	3464	0	0.062	0	1071
43223579	52334647	0	0	0	2492	0	0.05	0	1072
47651868	49120060	0	0	0	63	0	0.031	0	1075
56249536	60835547	0	0	0	6071	0	0.07	0	1076
27677283	30468455	0	0	0	4231	0	0.051	0	1077
2824965	14260340	0	0	0	643	0	0.03	0	1078
52708868	52710549	0	0	0	335	0	0.028	0	1079
56026040	-100	0	0	0	-100	0	0.088	0	
24135157	-100	0	0	0	-100	0	0.116	0	
7425100	11954734	0	0	0	1078	0	0.038	0	1081
4765256	17879766	0	0	0	424	0	0.015	0	1082
11851240	11892241	0	0	0	2516	0	0.054	0	1083
60289954	60310790	0	0	0	1	0	0.047	0	1084
11121385	-100	0	0	0	-100	0	0.115	0	
11693599	42112654	0	0	0	13	0	0.032	0	1087
29504327	29547506	0	0	0	79	0	0.022	0	1088
24033733	24039621	0	0	0	5	0	0.031	0	1089
40035067	40044958	0	0	0	912	0	0.031	0	109
55853841	55970694	0	0	0	5236	0	0.101	0	1090
42611836	56182271	0	0	0	1	0	0.022	0	1091
45047885	-100	0	0	0	-100	0	0.093	0	
25528067	-100	0	0	0	-100	0	0.148	0	
11254452	11288900	0	0	0	882	0	0.04	0	1094
12806128	19014531	0	0	0	103	0	0.03	0	1095
38895565	-100	0	0	0	-100	0	0.151	0	
38169765	38289656	0	0	0	18	0	0.039	0	1098
38644943	51658946	0	0	0	91	0	0.032	0	1099
57647120	-100	0	0	0	-100	0	0.1	0	
55482534	-100	0	0	0	-100	0	0.079	0	
36431158	36454567	0	0	0	881	0	0.026	0	1100
33048097	44318860	0	0	0	76	0	0.031	0	1101
49184274	-100	0	0	0	-100	0	0.1	0	
12075037	44167480	0	0	0	6	0	0.016	0	1103
20679635	20682542	0	0	0	777	0	0.04	0	1104
34619117	34631794	0	0	0	2	0	0.03	0	1105
10888117	17368223	0	0	0	7	0	0.02	0	1109
24305672	24308718	0	0	0	1	0	0.028	0	111
39137287	39164688	0	0	0	8	0	0.022	0	1110
27326929	29376031	0	0	0	1258	0	0.041	0	1111
29957669	42564379	0	0	0	1152	0	0.038	0	1112
45891034	45899768	0	0	0	1	0	0.022	0	1113
10689055	-100	0	0	0	-100	0	0.091	0	
59159729	59197298	0	0	0	1	0	0.028	0	1115
4996090	13043146	0	0	0	5946	0	0.123	0	1116
48433790	48511974	0	0	0	777	0	0.03	0	1117
11056625	15141952	0	0	0	1	0	0.02	0	1118
3685285	-100	0	0	0	-100	0	0.091	0	
6329962	17240536	0	0	0	1	0	0.018	0	1120
40385321	40436727	0	0	0	13	0	0.02	0	1122
51481913	52565472	0	0	0	1494	0	0.032	0	1123
25587773	41171676	0	0	0	35	0	0.039	0	1124
15403903	25315309	0	0	0	2020	0	0.042	0	1125
45607736	45627646	0	0	0	1	0	0.02	0	1126
31471808	-100	0	0	0	-100	0	0.061	0	
22558887	31416347	0	0	0	16	0	0.02	0	1128
11134812	42481827	0	0	0	1	0	0.03	0	1129
33479862	47907626	0	0	0	1	0	0.02	0	113
6178763	-100	0	0	0	-100	0	0.071	0	
10762287	46639120	0	0	0	11	0	0.02	0	1132
22305023	40554479	0	0	0	3023	0	0.058	0	1133
32575397	33306592	0	0	0	304	0	0.033	0	1134
51964208	56375203	0	0	0	1	0	0.02	0	1135
6967664	27611438	0	0	0	426	0	0.03	0	1136
26796829	33775239	0	0	0	5384	0	0.06	0	1137
28987622	47663131	0	0	0	1	0	0.021	0	1139
57334741	-100	0	0	0	-100	0	0.06	0	
47723890	47746656	0	0	0	1	0	0.03	0	1140
