testPostId	trainPostId	TitleSim	BodySim	TagSim	LuceneHitRank	ProposedHitRank	lucene_hit_duration	Proposed_hit_duration	LuceneTestTrueLabel
57657901	-100	0	0	0	-100	0	0.615	0	
50569314	-100	0	0	0	-100	0	0.23	0	
26145967	26159529	0	0	0	1	0	0.04	0	100
58314023	59791480	0	0	0	47	0	0.03	0	1000
14975638	15489065	0	0	0	2	0	0.022	0	1001
45206230	45635464	0	0	0	1	0	0.01	0	1002
46684038	-100	0	0	0	-100	0	0.272	0	
3903157	4948361	0	0	0	6255	0	0.161	0	1004
2589275	40089885	0	0	0	72	0	0.02	0	1005
36065232	36699272	0	0	0	6347	0	0.17	0	1006
16475081	16559250	0	0	0	36	0	0.012	0	1007
15853204	45372987	0	0	0	260	0	0.04	0	1008
9862519	26374327	0	0	0	1	0	0.02	0	1009
38658033	-100	0	0	0	-100	0	0.149	0	
43275478	-100	0	0	0	-100	0	0.234	0	
11950703	-100	0	0	0	-100	0	0.222	0	
14041601	-100	0	0	0	-100	0	0.01	0	
48912908	48913362	0	0	0	1	0	0.018	0	1018
2564258	19038396	0	0	0	1	0	0.022	0	1019
36368712	58859811	0	0	0	1401	0	0.05	0	102
2231993	38620373	0	0	0	6397	0	0.19	0	1020
56366734	56382379	0	0	0	1	0	0.022	0	1021
45201654	45515218	0	0	0	156	0	0.01	0	1023
14268814	28036294	0	0	0	1	0	0.01	0	1024
26497751	-100	0	0	0	-100	0	0.311	0	
28306604	-100	0	0	0	-100	0	0.247	0	
57430411	57465187	0	0	0	1	0	0.022	0	1028
8499378	15273148	0	0	0	1318	0	0.047	0	1029
28543538	-100	0	0	0	-100	0	0.217	0	
42449257	43536583	0	0	0	37	0	0.015	0	1030
23875757	-100	0	0	0	-100	0	0.254	0	
52187189	-100	0	0	0	-100	0	0.232	0	
53235655	-100	0	0	0	-100	0	0.238	0	
14964457	-100	0	0	0	-100	0	0.047	0	
47730589	52378661	0	0	0	13	0	0.016	0	1035
49041280	49074570	0	0	0	20	0	0.031	0	1036
27545423	28813057	0	0	0	848	0	0.022	0	1037
17178831	-100	0	0	0	-100	0	0.263	0	
15486551	17151024	0	0	0	9	0	0.016	0	1039
18018097	18083363	0	0	0	1	0	0.006	0	104
33574457	-100	0	0	0	-100	0	0.063	0	
52650467	52655729	0	0	0	147	0	0.038	0	1043
1567718	-100	0	0	0	-100	0	0.222	0	
57356463	-100	0	0	0	-100	0	0.22	0	
26896087	-100	0	0	0	-100	0	0.073	0	
24881923	38101558	0	0	0	1	0	0.04	0	1047
40652012	43551312	0	0	0	1	0	0.02	0	1048
38036680	48211887	0	0	0	1418	0	0.048	0	1049
59960252	-100	0	0	0	-100	0	0.244	0	
8260808	-100	0	0	0	-100	0	0.222	0	
21729415	-100	0	0	0	-100	0	0.201	0	
9171036	-100	0	0	0	-100	0	0.252	0	
7326865	7327521	0	0	0	2547	0	0.089	0	1054
3082716	-100	0	0	0	-100	0	0.163	0	
51923603	51996021	0	0	0	188	0	0.02	0	1056
41699952	41739418	0	0	0	83	0	0.01	0	1057
33419325	-100	0	0	0	-100	0	0.282	0	
57024793	58739159	0	0	0	1	0	0.02	0	1059
45279880	45556677	0	0	0	2	0	0.03	0	106
13912387	-100	0	0	0	-100	0	0.231	0	
28159936	-100	0	0	0	-100	0	0.202	0	
43189512	44551816	0	0	0	2077	0	0.061	0	1063
14366406	-100	0	0	0	-100	0	0.03	0	
5027480	-100	0	0	0	-100	0	0.252	0	
10004847	11028353	0	0	0	8836	0	0.201	0	1067
12417454	-100	0	0	0	-100	0	0.232	0	
31178704	-100	0	0	0	-100	0	0.232	0	
51569831	51581399	0	0	0	71	0	0.02	0	107
9220849	20849641	0	0	0	4	0	0.01	0	1070
8854046	15285089	0	0	0	2	0	0.008	0	1071
43223579	52334647	0	0	0	137	0	0.021	0	1072
47651868	49120060	0	0	0	183	0	0.012	0	1075
56249536	-100	0	0	0	-100	0	0.11	0	
27677283	-100	0	0	0	-100	0	0.232	0	
2824965	14260340	0	0	0	1	0	0.02	0	1078
52708868	52710549	0	0	0	14	0	0.01	0	1079
56026040	-100	0	0	0	-100	0	0.232	0	
24135157	34516346	0	0	0	1040	0	0.03	0	1080
7425100	11954734	0	0	0	5	0	0.009	0	1081
4765256	-100	0	0	0	-100	0	0.223	0	
11851240	11892241	0	0	0	4	0	0.021	0	1083
60289954	60310790	0	0	0	260	0	0.02	0	1084
11121385	38237350	0	0	0	34	0	0.01	0	1085
11693599	-100	0	0	0	-100	0	0.02	0	
29504327	29547506	0	0	0	6944	0	0.161	0	1088
24033733	-100	0	0	0	-100	0	0.222	0	
40035067	40044958	0	0	0	3	0	0.02	0	109
55853841	55970694	0	0	0	2	0	0.038	0	1090
42611836	-100	0	0	0	-100	0	0.224	0	
45047885	45122894	0	0	0	184	0	0.01	0	1092
25528067	-100	0	0	0	-100	0	0.139	0	
11254452	11288900	0	0	0	1	0	0.002	0	1094
12806128	-100	0	0	0	-100	0	0.242	0	
38895565	55853359	0	0	0	18	0	0.031	0	1097
38169765	38289656	0	0	0	1	0	0.007	0	1098
38644943	-100	0	0	0	-100	0	0.201	0	
57647120	-100	0	0	0	-100	0	0.231	0	
55482534	55501292	0	0	0	2	0	0.016	0	110
36431158	36454567	0	0	0	2293	0	0.069	0	1100
33048097	44318860	0	0	0	335	0	0.031	0	1101
49184274	49198437	0	0	0	30	0	0.016	0	1102
12075037	-100	0	0	0	-100	0	0.216	0	
20679635	20682542	0	0	0	781	0	0.038	0	1104
34619117	34631794	0	0	0	2	0	0.016	0	1105
10888117	17655648	0	0	0	63	0	0.0	0	1109
24305672	24308718	0	0	0	1	0	0.015	0	111
39137287	39164688	0	0	0	1	0	0.0	0	1110
27326929	-100	0	0	0	-100	0	0.248	0	
29957669	42564379	0	0	0	7913	0	0.179	0	1112
45891034	-100	0	0	0	-100	0	0.22	0	
10689055	52844649	0	0	0	23	0	0.01	0	1114
59159729	59197298	0	0	0	1	0	0.002	0	1115
4996090	-100	0	0	0	-100	0	0.221	0	
48433790	48511974	0	0	0	92	0	0.02	0	1117
11056625	15141952	0	0	0	53	0	0.011	0	1118
3685285	29262916	0	0	0	6	0	0.01	0	1119
6329962	-100	0	0	0	-100	0	0.231	0	
40385321	40436727	0	0	0	280	0	0.03	0	1122
51481913	52565472	0	0	0	1	0	0.011	0	1123
25587773	41171676	0	0	0	14	0	0.02	0	1124
15403903	25315309	0	0	0	1	0	0.008	0	1125
45607736	45627646	0	0	0	1538	0	0.052	0	1126
31471808	42499099	0	0	0	8773	0	0.192	0	1127
22558887	-100	0	0	0	-100	0	0.04	0	
11134812	42481827	0	0	0	106	0	0.02	0	1129
33479862	47907626	0	0	0	1	0	0.01	0	113
6178763	7001799	0	0	0	2	0	0.021	0	1131
10762287	-100	0	0	0	-100	0	0.221	0	
22305023	-100	0	0	0	-100	0	0.222	0	
32575397	33306592	0	0	0	1	0	0.0	0	1134
51964208	56375203	0	0	0	1	0	0.02	0	1135
6967664	27611438	0	0	0	389	0	0.02	0	1136
26796829	33775239	0	0	0	407	0	0.029	0	1137
28987622	47663131	0	0	0	155	0	0.012	0	1139
57334741	57359221	0	0	0	5056	0	0.111	0	114
47723890	47746656	0	0	0	716	0	0.02	0	1140
7942519	-100	0	0	0	-100	0	0.222	0	
2286831	-100	0	0	0	-100	0	0.231	0	
1429907	5365974	0	0	0	21	0	0.0	0	1144
19936432	-100	0	0	0	-100	0	0.22	0	
30946374	-100	0	0	0	-100	0	0.224	0	
36094718	36141451	0	0	0	9	0	0.018	0	1147
57110805	57160711	0	0	0	1	0	0.02	0	1148
27014134	-100	0	0	0	-100	0	0.234	0	
58627988	58906457	0	0	0	43	0	0.01	0	115
19885381	33103203	0	0	0	1	0	0.02	0	1152
24916945	24948003	0	0	0	2	0	0.02	0	1153
11486369	-100	0	0	0	-100	0	0.121	0	
5831794	-100	0	0	0	-100	0	0.0	0	
34001333	-100	0	0	0	-100	0	0.23	0	
7960798	-100	0	0	0	-100	0	0.222	0	
12125364	49781741	0	0	0	4053	0	0.092	0	1161
53479557	53864892	0	0	0	16	0	0.01	0	1162
9617629	27676179	0	0	0	9	0	0.011	0	1163
31947727	31994387	0	0	0	1	0	0.02	0	1164
8761857	-100	0	0	0	-100	0	0.181	0	
14490071	34533472	0	0	0	95	0	0.01	0	1166
10498477	14839730	0	0	0	1456	0	0.041	0	1167
25178452	-100	0	0	0	-100	0	0.251	0	
30060278	39418783	0	0	0	1	0	0.0	0	1169
27184918	-100	0	0	0	-100	0	0.239	0	
24129772	-100	0	0	0	-100	0	0.199	0	
11144551	17878048	0	0	0	78	0	0.016	0	1171
30159041	31259932	0	0	0	708	0	0.031	0	1172
37761096	-100	0	0	0	-100	0	0.216	0	
47722530	-100	0	0	0	-100	0	0.232	0	
8273313	18492844	0	0	0	299	0	0.007	0	1175
36974450	36974742	0	0	0	162	0	0.031	0	1176
36187931	51407129	0	0	0	304	0	0.016	0	1177
35725156	35859083	0	0	0	92	0	0.031	0	1179
17222981	-100	0	0	0	-100	0	0.226	0	
16512371	-100	0	0	0	-100	0	0.209	0	
24590154	42562128	0	0	0	2	0	0.02	0	1181
57498890	58487886	0	0	0	318	0	0.023	0	1182
8400901	16118050	0	0	0	76	0	0.01	0	1183
37991389	50867641	0	0	0	40	0	0.01	0	1184
1266279	-100	0	0	0	-100	0	0.209	0	
7486386	-100	0	0	0	-100	0	0.254	0	
61353320	61369850	0	0	0	30	0	0.021	0	1189
27727590	30330104	0	0	0	1	0	0.01	0	119
27114926	-100	0	0	0	-100	0	0.231	0	
1169539	51857177	0	0	0	559	0	0.031	0	1192
49743774	49818889	0	0	0	532	0	0.028	0	1193
18349053	18361570	0	0	0	76	0	0.01	0	1194
36023558	-100	0	0	0	-100	0	0.224	0	
29125019	30765866	0	0	0	1	0	0.008	0	1196
3699405	33613337	0	0	0	2376	0	0.062	0	1197
8203818	31528981	0	0	0	2	0	0.021	0	1198
28814322	52344047	0	0	0	2	0	0.02	0	1199
36936613	36953026	0	0	0	2	0	0.02	0	12
50062132	50231159	0	0	0	1	0	0.028	0	120
1245273	7828248	0	0	0	32	0	0.002	0	1200
32857212	61760349	0	0	0	43	0	0.01	0	1201
9863604	30266732	0	0	0	1	0	0.01	0	1202
18110397	52317124	0	0	0	3039	0	0.091	0	1203
18067519	-100	0	0	0	-100	0	0.242	0	
56983105	56986638	0	0	0	797	0	0.037	0	1208
43000077	-100	0	0	0	-100	0	0.216	0	
43371723	49752514	0	0	0	1	0	0.016	0	121
7368262	13642092	0	0	0	2157	0	0.047	0	1210
19009308	36144946	0	0	0	1	0	0.022	0	1211
12038160	31412724	0	0	0	1	0	0.016	0	1212
33027611	-100	0	0	0	-100	0	0.216	0	
3483203	-100	0	0	0	-100	0	0.232	0	
3642188	51687808	0	0	0	47	0	0.015	0	1216
23528862	59199273	0	0	0	1	0	0.0	0	1217
25565817	-100	0	0	0	-100	0	0.223	0	
27779667	31729775	0	0	0	35	0	0.016	0	1219
12766253	12771988	0	0	0	1	0	0.015	0	122
5320814	10562078	0	0	0	4340	0	0.101	0	1220
61798169	61876254	0	0	0	1	0	0.031	0	1221
29736577	49181715	0	0	0	688	0	0.031	0	1222
43460760	43526149	0	0	0	1	0	0.007	0	1223
2126108	9617348	0	0	0	3742	0	0.1	0	1228
10411871	24651664	0	0	0	4	0	0.0	0	1229
33769770	50023898	0	0	0	996	0	0.047	0	123
47720329	59808375	0	0	0	196	0	0.015	0	1230
54535966	54764144	0	0	0	678	0	0.016	0	1231
33180058	-100	0	0	0	-100	0	0.223	0	
51352697	-100	0	0	0	-100	0	0.216	0	
50341423	-100	0	0	0	-100	0	0.216	0	
47719961	58295133	0	0	0	14	0	0.016	0	1235
61602871	61613387	0	0	0	25	0	0.015	0	1236
23483421	23493873	0	0	0	1	0	0.016	0	1237
15673550	21605401	0	0	0	10	0	0.0	0	1238
11070101	26562926	0	0	0	141	0	0.024	0	1239
52874031	-100	0	0	0	-100	0	0.222	0	
2893005	3472980	0	0	0	3	0	0.01	0	1240
41088751	42387066	0	0	0	1774	0	0.061	0	125
1882734	-100	0	0	0	-100	0	0.191	0	
4442518	20588435	0	0	0	12	0	0.02	0	1251
42524450	49924813	0	0	0	7	0	0.01	0	1252
14899197	15475832	0	0	0	1	0	0.011	0	1253
10305614	10572878	0	0	0	1	0	0.01	0	1254
15960352	20134823	0	0	0	9054	0	0.195	0	1255
57547769	57680924	0	0	0	4	0	0.015	0	1256
27367914	-100	0	0	0	-100	0	0.248	0	
53070606	53071578	0	0	0	1	0	0.015	0	126
3261597	10058839	0	0	0	2258	0	0.054	0	1263
22480052	34623780	0	0	0	92	0	0.015	0	1265
12675147	23231246	0	0	0	3	0	0.016	0	1266
34896004	35660588	0	0	0	1	0	0.0	0	1267
61649029	61741207	0	0	0	166	0	0.038	0	1268
46842293	46872965	0	0	0	1	0	0.015	0	127
49440262	52649215	0	0	0	60	0	0.016	0	1271
49554201	49665486	0	0	0	2800	0	0.1	0	1272
10966109	31822873	0	0	0	1225	0	0.054	0	1273
22329685	27593677	0	0	0	805	0	0.031	0	1274
21273691	21274527	0	0	0	315	0	0.031	0	1275
51126843	-100	0	0	0	-100	0	0.216	0	
46842118	46901745	0	0	0	14	0	0.022	0	128
21435339	21477525	0	0	0	8817	0	0.217	0	1282
23026145	-100	0	0	0	-100	0	0.231	0	
45722157	59174298	0	0	0	4	0	0.016	0	1284
42771185	43046753	0	0	0	1	0	0.016	0	1285
21185336	-100	0	0	0	-100	0	0.3	0	
60916444	-100	0	0	0	-100	0	0.239	0	
25964504	-100	0	0	0	-100	0	0.232	0	
30064401	30065418	0	0	0	1973	0	0.069	0	129
10368180	16028659	0	0	0	234	0	0.015	0	1290
28360148	-100	0	0	0	-100	0	0.248	0	
11280277	30894636	0	0	0	1464	0	0.037	0	1292
19196923	33359284	0	0	0	6009	0	0.148	0	1293
34898222	34903368	0	0	0	1	0	0.015	0	1294
10483349	16115102	0	0	0	2	0	0.022	0	1296
7726034	15383057	0	0	0	747	0	0.047	0	1297
10662314	-100	0	0	0	-100	0	0.232	0	
29827948	29892116	0	0	0	151	0	0.022	0	1299
48469441	-100	0	0	0	-100	0	0.248	0	
49229558	49269338	0	0	0	1	0	0.031	0	130
51597297	51650023	0	0	0	42	0	0.016	0	1300
7885147	34008486	0	0	0	70	0	0.006	0	1301
4959018	-100	0	0	0	-100	0	0.2	0	
32544646	-100	0	0	0	-100	0	0.217	0	
10706753	-100	0	0	0	-100	0	0.237	0	
12040245	31458536	0	0	0	2	0	0.018	0	1306
6085238	51892875	0	0	0	4	0	0.002	0	1307
9968976	-100	0	0	0	-100	0	0.222	0	
61873468	61900256	0	0	0	1	0	0.01	0	1309
